Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 17 2020,Zhejiang Golden Bulls,138,,Guangdong Southern Tigers,113,,,
Sat Oct 17 2020,Qingdao Eagles,102,,Jiangsu Dragons,94,,,
Sat Oct 17 2020,Nanjing Monkey Kings,97,,Jilin Northeast Tigers,105,,,
Sat Oct 17 2020,Sichuan Blue Whales,83,,Shenzhen Aviators,93,,,
Sun Oct 18 2020,Beijing Ducks,20,,,0,,,
Sun Oct 18 2020,Shanxi Loongs,99,,Fujian Sturgeons,92,,,
Sun Oct 18 2020,Xinjiang Flying Tigers,102,,Guangzhou Loong Lions,97,,,
Sun Oct 18 2020,Nanjing Monkey Kings,97,,Jilin Northeast Tigers,105,,,
Sun Oct 18 2020,Sichuan Blue Whales,83,,Shenzhen Aviators,93,,,
Sun Oct 18 2020,Shanghai Sharks,94,,Zhejiang Lions,122,,,
Mon Oct 19 2020,Shandong Heroes,99,,Beijing Royal Fighters,83,,,
Mon Oct 19 2020,Qingdao Eagles,112,,Guangzhou Loong Lions,88,,,
Mon Oct 19 2020,Tianjin Pioneers,108,,Liaoning Flying Leopards,121,,,
Mon Oct 19 2020,Guangdong Southern Tigers,134,,Shenzhen Aviators,126,,,
Tue Oct 20 2020,Zhejiang Golden Bulls,92,,Beijing Ducks,75,,,
Tue Oct 20 2020,Sichuan Blue Whales,89,,Fujian Sturgeons,79,,,
Tue Oct 20 2020,Qingdao Eagles,112,,Guangzhou Loong Lions,88,,,
Tue Oct 20 2020,Jiangsu Dragons,92,,Jilin Northeast Tigers,110,,,
Tue Oct 20 2020,Shanxi Loongs,88,,Shanghai Sharks,95,,,
Tue Oct 20 2020,Guangdong Southern Tigers,134,,Shenzhen Aviators,126,,,
Wed Oct 21 2020,Tianjin Pioneers,83,,Nanjing Monkey Kings,92,,,
Wed Oct 21 2020,Shandong Heroes,100,,Liaoning Flying Leopards,110,,,
Wed Oct 21 2020,Beijing Royal Fighters,92,,Xinjiang Flying Tigers,123,,,
Thu Oct 22 2020,Shenzhen Aviators,78,,Beijing Ducks,92,,,
Thu Oct 22 2020,Jiangsu Dragons,73,,Guangzhou Loong Lions,92,,,
Thu Oct 22 2020,Nanjing Monkey Kings,69,,Shandong Heroes,87,,,
Thu Oct 22 2020,Sichuan Blue Whales,90,,Shanghai Sharks,102,,,
Thu Oct 22 2020,Jilin Northeast Tigers,108,,Xinjiang Flying Tigers,97,,,
Thu Oct 22 2020,Shanxi Loongs,93,,Zhejiang Golden Bulls,105,,,
Fri Oct 23 2020,Liaoning Flying Leopards,111,,Beijing Royal Fighters,91,,,
Fri Oct 23 2020,Zhejiang Lions,106,,Guangdong Southern Tigers,115,,,
Fri Oct 23 2020,Tianjin Pioneers,96,,Qingdao Eagles,104,,,
Fri Oct 23 2020,Nanjing Monkey Kings,69,,Shandong Heroes,87,,,
Fri Oct 23 2020,Jilin Northeast Tigers,108,,Xinjiang Flying Tigers,97,,,
Sat Oct 24 2020,Guangzhou Loong Lions,96,,Shandong Heroes,94,,,
Sat Oct 24 2020,Beijing Ducks,102,,Shanghai Sharks,99,,,
Sat Oct 24 2020,Jilin Northeast Tigers,105,,Tianjin Pioneers,97,,,
Sat Oct 24 2020,Sichuan Blue Whales,106,,Zhejiang Golden Bulls,116,,,
Sun Oct 25 2020,Fujian Sturgeons,111,,Guangdong Southern Tigers,123,,,
Sun Oct 25 2020,Liaoning Flying Leopards,107,,Jiangsu Dragons,86,,,
Sun Oct 25 2020,Guangzhou Loong Lions,96,,Shandong Heroes,94,,,
Sun Oct 25 2020,Jilin Northeast Tigers,105,,Tianjin Pioneers,97,,,
Sun Oct 25 2020,Shenzhen Aviators,88,,Zhejiang Lions,99,,,
Mon Oct 26 2020,Beijing Royal Fighters,95,,Qingdao Eagles,127,,,
Mon Oct 26 2020,Shenzhen Aviators,96,,Shanxi Loongs,87,,,
Mon Oct 26 2020,Nanjing Monkey Kings,94,,Xinjiang Flying Tigers,116,,,
Tue Oct 27 2020,Shanghai Sharks,116,,Fujian Sturgeons,87,,,
Tue Oct 27 2020,Jiangsu Dragons,114,,Qingdao Eagles,113,,,
Tue Oct 27 2020,Shenzhen Aviators,96,,Shanxi Loongs,87,,,
Tue Oct 27 2020,Guangdong Southern Tigers,111,,Sichuan Blue Whales,90,,,
Tue Oct 27 2020,Zhejiang Golden Bulls,113,,Zhejiang Lions,104,,,
Wed Oct 28 2020,Beijing Royal Fighters,110,,Nanjing Monkey Kings,82,,,
Wed Oct 28 2020,Guangzhou Loong Lions,87,,Jilin Northeast Tigers,99,,,
Wed Oct 28 2020,Jiangsu Dragons,114,,Qingdao Eagles,113,,,
Wed Oct 28 2020,Xinjiang Flying Tigers,99,,Shandong Heroes,97,,,
Wed Oct 28 2020,Liaoning Flying Leopards,119,,Tianjin Pioneers,91,,,
Thu Oct 29 2020,Jilin Northeast Tigers,99,,Beijing Royal Fighters,81,,,
Thu Oct 29 2020,Fujian Sturgeons,71,,Beijing Ducks,80,,,
Thu Oct 29 2020,Shanghai Sharks,105,,Guangdong Southern Tigers,119,,,
Thu Oct 29 2020,Guangzhou Loong Lions,108,,Tianjin Pioneers,95,,,
Thu Oct 29 2020,Shanxi Loongs,113,,Zhejiang Lions,103,,,
Fri Oct 30 2020,Jilin Northeast Tigers,99,,Beijing Royal Fighters,81,,,
Fri Oct 30 2020,Nanjing Monkey Kings,99,,Liaoning Flying Leopards,125,,,
Fri Oct 30 2020,Shandong Heroes,91,,Qingdao Eagles,103,,,
Fri Oct 30 2020,Guangzhou Loong Lions,108,,Tianjin Pioneers,95,,,
Fri Oct 30 2020,Jiangsu Dragons,100,,Xinjiang Flying Tigers,113,,,
Fri Oct 30 2020,Shenzhen Aviators,74,,Zhejiang Golden Bulls,91,,,
Sat Oct 31 2020,Nanjing Monkey Kings,111,,Guangzhou Loong Lions,110,,,
Sat Oct 31 2020,Fujian Sturgeons,85,,Shanxi Loongs,102,,,
Sat Oct 31 2020,Zhejiang Lions,97,,Sichuan Blue Whales,96,,,
Sun Nov 1 2020,Jiangsu Dragons,79,,Beijing Royal Fighters,87,,,
Sun Nov 1 2020,Nanjing Monkey Kings,111,,Guangzhou Loong Lions,110,,,
Sun Nov 1 2020,Qingdao Eagles,103,,Liaoning Flying Leopards,126,,,
Sun Nov 1 2020,Shanghai Sharks,91,,Shenzhen Aviators,93,,,
Sun Nov 1 2020,Zhejiang Lions,97,,Sichuan Blue Whales,96,,,
Sun Nov 1 2020,Beijing Ducks,92,,Zhejiang Golden Bulls,94,,,
Mon Nov 2 2020,Shandong Heroes,106,,Jilin Northeast Tigers,93,,,
Mon Nov 2 2020,Fujian Sturgeons,80,,Sichuan Blue Whales,90,,,
Mon Nov 2 2020,Tianjin Pioneers,106,,Xinjiang Flying Tigers,117,,,
Tue Nov 3 2020,Guangdong Southern Tigers,111,,Beijing Ducks,107,,,
Tue Nov 3 2020,Guangzhou Loong Lions,104,,Jiangsu Dragons,86,,,
Tue Nov 3 2020,Shandong Heroes,114,,Nanjing Monkey Kings,96,,,
Tue Nov 3 2020,Zhejiang Lions,87,,Shenzhen Aviators,80,,,
Tue Nov 3 2020,Fujian Sturgeons,80,,Sichuan Blue Whales,90,,,
Tue Nov 3 2020,Beijing Royal Fighters,87,,Tianjin Pioneers,80,,,
