Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 8 2016,Trikala Aries,65,,Aris,75,,,
Sat Oct 8 2016,PAOK,78,,Doxa Lefkadas,84,,,
Sat Oct 8 2016,Olympiacos,88,,Koroivos,66,,,
Sat Oct 8 2016,Kymis Seajets,69,,Lavrio DHI,75,,,
Sat Oct 8 2016,Rethymno Cretan Kings,74,,Kolossos H Hotels,66,,,
Sun Oct 9 2016,AEK Athens,77,,Apollon Patras Carna,59,,,
Sun Oct 9 2016,Promitheas Patras,71,,Panathinaikos Superfoods,81,,,
Sat Oct 15 2016,Lavrio DHI,56,,AEK Athens,96,,,
Sat Oct 15 2016,Apollon Patras Carna,60,,Trikala Aries,65,,,
Sat Oct 15 2016,Kolossos H Hotels,73,,PAOK,85,,,
Sat Oct 15 2016,Doxa Lefkadas,70,,Promitheas Patras,78,,,
Sat Oct 15 2016,Aris,60,,Rethymno Cretan Kings,69,,,
Mon Oct 17 2016,Koroivos,70,,Kymis Seajets,93,,,
Mon Oct 17 2016,Panathinaikos Superfoods,63,,Olympiacos,88,,,
Sat Oct 22 2016,Rethymno Cretan Kings,78,,Apollon Patras Carna,86,,,
Sat Oct 22 2016,PAOK,66,,Aris,62,,,
Sat Oct 22 2016,Olympiacos,95,,Doxa Lefkadas,94,,,
Sat Oct 22 2016,AEK Athens,81,,Kymis Seajets,55,,,
Sat Oct 22 2016,Trikala Aries,56,,Lavrio DHI,86,,,
Sat Oct 22 2016,Promitheas Patras,59,,Kolossos H Hotels,76,,,
Sun Oct 23 2016,Koroivos,65,,Panathinaikos Superfoods,96,,,
Sat Oct 29 2016,AEK Athens,78,,Trikala Aries,59,,,
Sat Oct 29 2016,Doxa Lefkadas,71,,Koroivos,74,,,
Sat Oct 29 2016,Apollon Patras Carna,83,,PAOK,84,,,
Sat Oct 29 2016,Aris,89,,Promitheas Patras,79,,,
Sat Oct 29 2016,Lavrio DHI,79,,Rethymno Cretan Kings,88,,,
Sun Oct 30 2016,Kolossos H Hotels,67,,Olympiacos,75,,,
Mon Oct 31 2016,Kymis Seajets,52,,Panathinaikos Superfoods,92,,,
Sat Nov 5 2016,Rethymno Cretan Kings,62,,AEK Athens,80,,,
Sat Nov 5 2016,Promitheas Patras,67,,Apollon Patras Carna,53,,,
Sat Nov 5 2016,PAOK,73,,Lavrio DHI,63,,,
Sat Nov 5 2016,Koroivos,88,,Kolossos H Hotels,90,,,
Sun Nov 6 2016,Trikala Aries,67,,Kymis Seajets,78,,,
Mon Nov 7 2016,Olympiacos,70,,Aris,63,,,
Mon Nov 7 2016,Panathinaikos Superfoods,73,,Doxa Lefkadas,46,,,
Sat Nov 12 2016,Kymis Seajets,81,,Doxa Lefkadas,84,,,
Sat Nov 12 2016,Aris,99,,Koroivos,94,,,
Sat Nov 12 2016,AEK Athens,78,,PAOK,71,,,
Sat Nov 12 2016,Lavrio DHI,61,,Promitheas Patras,64,,,
Sat Nov 12 2016,Trikala Aries,56,,Rethymno Cretan Kings,84,,,
Sun Nov 13 2016,Apollon Patras Carna,55,,Olympiacos,83,,,
Sun Nov 13 2016,Kolossos H Hotels,65,,Panathinaikos Superfoods,80,,,
Sat Nov 19 2016,Promitheas Patras,59,,AEK Athens,76,,,
Sat Nov 19 2016,Koroivos,66,,Apollon Patras Carna,92,,,
Sat Nov 19 2016,PAOK,73,,Trikala Aries,84,,,
Sat Nov 19 2016,Doxa Lefkadas,60,,Kolossos H Hotels,77,,,
Sun Nov 20 2016,Rethymno Cretan Kings,62,,Kymis Seajets,73,,,
Mon Nov 21 2016,Panathinaikos Superfoods,71,,Aris,59,,,
Mon Nov 21 2016,Olympiacos,80,,Lavrio DHI,64,,,
Sat Nov 26 2016,Aris,79,,Doxa Lefkadas,69,,,
Sat Nov 26 2016,Lavrio DHI,86,,Koroivos,89,,,
Sat Nov 26 2016,AEK Athens,67,,Olympiacos,78,,,
Sat Nov 26 2016,Rethymno Cretan Kings,75,,PAOK,77,,,
Sat Nov 26 2016,Trikala Aries,67,,Promitheas Patras,84,,,
Sat Nov 26 2016,Kymis Seajets,54,,Kolossos H Hotels,64,,,
Mon Nov 28 2016,Apollon Patras Carna,59,,Panathinaikos Superfoods,96,,,
Sat Dec 3 2016,Koroivos,75,,AEK Athens,89,,,
Sat Dec 3 2016,Doxa Lefkadas,65,,Apollon Patras Carna,74,,,
Sat Dec 3 2016,Kolossos H Hotels,60,,Aris,84,,,
Sat Dec 3 2016,PAOK,82,,Kymis Seajets,93,,,
Sat Dec 3 2016,Promitheas Patras,97,,Rethymno Cretan Kings,104,,,
Mon Dec 5 2016,Olympiacos,81,,Trikala Aries,60,,,
Mon Dec 5 2016,Panathinaikos Superfoods,84,,Lavrio DHI,60,,,
Sat Dec 10 2016,Kymis Seajets,72,,Aris,85,,,
Sat Dec 10 2016,Lavrio DHI,64,,Doxa Lefkadas,63,,,
Sat Dec 10 2016,Trikala Aries,76,,Koroivos,87,,,
Sat Dec 10 2016,PAOK,75,,Promitheas Patras,73,,,
Sat Dec 10 2016,Apollon Patras Carna,59,,Kolossos H Hotels,71,,,
Sun Dec 11 2016,Rethymno Cretan Kings,58,,Olympiacos,83,,,
Sun Dec 11 2016,AEK Athens,68,,Panathinaikos Superfoods,77,,,
