Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Sep 26 2014,Orléans Loiret Basket,60,,Élan Béarnais Pau-Lacq-Orthez,72,,,
Sat Sep 27 2014,STB Le Havre,81,,JL Bourg,73,,,
Sat Sep 27 2014,JDA Dijon,73,,Cholet Basket,81,,,
Sat Sep 27 2014,Rouen Métropole Basket,63,,Le Mans Sarthe Basket,61,,,
Sat Sep 27 2014,Élan Chalon,66,,JSF Nanterre,89,,,
Sat Sep 27 2014,Paris-Levallois Basket,85,,Champagne Châlons-Reims,84,,,
Sun Sep 28 2014,SLUC Nancy,56,,Limoges CSP,75,,,
Mon Sep 29 2014,BCM Gravelines-Dunkerque,79,,SOMB Boulogne-sur-Mer,64,,,
Tue Sep 30 2014,ASVEL Basket,58,,SIG Strasbourg,68,,,
Sat Oct 4 2014,Champagne Châlons-Reims,84,,Élan Chalon,89,,,
Sat Oct 4 2014,Le Mans Sarthe Basket,79,,JDA Dijon,80,,,
Sat Oct 4 2014,Limoges CSP,81,,BCM Gravelines-Dunkerque,78,,,
Sat Oct 4 2014,JL Bourg,68,,SLUC Nancy,94,,,
Sat Oct 4 2014,SIG Strasbourg,82,,Orléans Loiret Basket,60,,,
Sat Oct 4 2014,Cholet Basket,56,,ASVEL Basket,67,,,
Mon Oct 6 2014,Paris-Levallois Basket,71,,JSF Nanterre,60,,,
Tue Oct 7 2014,Élan Béarnais Pau-Lacq-Orthez,69,,Rouen Métropole Basket,88,,,
Fri Oct 10 2014,Élan Chalon,88,,JL Bourg,99,,,
Fri Oct 10 2014,BCM Gravelines-Dunkerque,107,,Paris-Levallois Basket,99,,,
Sat Oct 11 2014,Orléans Loiret Basket,92,,SOMB Boulogne-sur-Mer,86,,,
Sat Oct 11 2014,ASVEL Basket,71,,JDA Dijon,86,,,
Sat Oct 11 2014,STB Le Havre,56,,Le Mans Sarthe Basket,70,,,
Sat Oct 11 2014,Rouen Métropole Basket,62,,Limoges CSP,92,,,
Sat Oct 11 2014,SIG Strasbourg,86,,Élan Béarnais Pau-Lacq-Orthez,58,,,
Sat Oct 11 2014,SLUC Nancy,76,,Champagne Châlons-Reims,69,,,
Tue Oct 14 2014,JSF Nanterre,88,,Cholet Basket,77,,,
Fri Oct 17 2014,JSF Nanterre,79,,SLUC Nancy,70,,,
Fri Oct 17 2014,Élan Béarnais Pau-Lacq-Orthez,71,,Paris-Levallois Basket,70,,,
Sat Oct 18 2014,Champagne Châlons-Reims,84,,SOMB Boulogne-sur-Mer,80,,,
Sat Oct 18 2014,BCM Gravelines-Dunkerque,73,,Cholet Basket,74,,,
Sat Oct 18 2014,JL Bourg,81,,Rouen Métropole Basket,68,,,
Sat Oct 18 2014,JDA Dijon,56,,SIG Strasbourg,63,,,
Sat Oct 18 2014,Élan Chalon,64,,ASVEL Basket,56,,,
Mon Oct 20 2014,Limoges CSP,79,,STB Le Havre,85,,,
Tue Oct 21 2014,Le Mans Sarthe Basket,86,,Orléans Loiret Basket,81,,,
Fri Oct 24 2014,Champagne Châlons-Reims,91,,Élan Béarnais Pau-Lacq-Orthez,83,,,
Fri Oct 24 2014,JL Bourg,64,,ASVEL Basket,86,,,
Sat Oct 25 2014,SLUC Nancy,64,,Élan Chalon,81,,,
Sat Oct 25 2014,Paris-Levallois Basket,58,,JDA Dijon,77,,,
Sat Oct 25 2014,Rouen Métropole Basket,49,,BCM Gravelines-Dunkerque,92,,,
Sat Oct 25 2014,SIG Strasbourg,72,,STB Le Havre,59,,,
Sat Oct 25 2014,SOMB Boulogne-sur-Mer,70,,JSF Nanterre,84,,,
Mon Oct 27 2014,Cholet Basket,82,,Le Mans Sarthe Basket,61,,,
Mon Oct 27 2014,Orléans Loiret Basket,66,,Limoges CSP,102,,,
Fri Oct 31 2014,ASVEL Basket,60,,Paris-Levallois Basket,64,,,
Sat Nov 1 2014,Élan Chalon,61,,SOMB Boulogne-sur-Mer,66,,,
Sat Nov 1 2014,Cholet Basket,94,,SLUC Nancy,98,,,
Sat Nov 1 2014,STB Le Havre,71,,Orléans Loiret Basket,73,,,
Sat Nov 1 2014,JDA Dijon,77,,Élan Béarnais Pau-Lacq-Orthez,80,,,
Sat Nov 1 2014,Le Mans Sarthe Basket,83,,Champagne Châlons-Reims,74,,,
Sat Nov 1 2014,JSF Nanterre,69,,Rouen Métropole Basket,60,,,
Mon Nov 3 2014,Limoges CSP,65,,SIG Strasbourg,56,,,
Tue Nov 4 2014,BCM Gravelines-Dunkerque,78,,JL Bourg,71,,,
Tue Nov 4 2014,SOMB Boulogne-sur-Mer,77,,STB Le Havre,116,,,
Fri Nov 7 2014,Élan Chalon,94,,Paris-Levallois Basket,84,,,
Sat Nov 8 2014,SOMB Boulogne-sur-Mer,90,,Cholet Basket,115,,,
Sat Nov 8 2014,SLUC Nancy,78,,STB Le Havre,72,,,
Sat Nov 8 2014,SIG Strasbourg,83,,Le Mans Sarthe Basket,76,,,
Sat Nov 8 2014,JL Bourg,74,,Orléans Loiret Basket,76,,,
Sat Nov 8 2014,Rouen Métropole Basket,79,,ASVEL Basket,74,,,
Sun Nov 9 2014,Limoges CSP,75,,JSF Nanterre,72,,,
Mon Nov 10 2014,Champagne Châlons-Reims,57,,JDA Dijon,78,,,
Tue Nov 11 2014,Élan Béarnais Pau-Lacq-Orthez,86,,BCM Gravelines-Dunkerque,95,,,
Fri Nov 14 2014,Le Mans Sarthe Basket,74,,SLUC Nancy,71,,,
Sat Nov 15 2014,ASVEL Basket,99,,SOMB Boulogne-sur-Mer,90,,,
Sat Nov 15 2014,Paris-Levallois Basket,84,,JL Bourg,76,,,
Sat Nov 15 2014,Élan Béarnais Pau-Lacq-Orthez,46,,JSF Nanterre,82,,,
Sat Nov 15 2014,Cholet Basket,63,,SIG Strasbourg,77,,,
Sun Nov 16 2014,JDA Dijon,67,,Limoges CSP,78,,,
Mon Nov 17 2014,Orléans Loiret Basket,49,,Champagne Châlons-Reims,69,,,
Tue Nov 18 2014,BCM Gravelines-Dunkerque,57,,Élan Chalon,52,,,
Fri Nov 21 2014,SIG Strasbourg,83,,Paris-Levallois Basket,68,,,
Sat Nov 22 2014,STB Le Havre,67,,JDA Dijon,72,,,
Sat Nov 22 2014,SOMB Boulogne-sur-Mer,61,,Le Mans Sarthe Basket,68,,,
Sat Nov 22 2014,Orléans Loiret Basket,64,,SLUC Nancy,73,,,
Sat Nov 22 2014,ASVEL Basket,78,,Élan Béarnais Pau-Lacq-Orthez,67,,,
Sat Nov 22 2014,Rouen Métropole Basket,76,,Champagne Châlons-Reims,70,,,
Sun Nov 23 2014,JL Bourg,70,,Limoges CSP,79,,,
Mon Nov 24 2014,Élan Chalon,81,,Cholet Basket,79,,,
Tue Nov 25 2014,JSF Nanterre,84,,BCM Gravelines-Dunkerque,92,,,
Fri Nov 28 2014,Paris-Levallois Basket,58,,Rouen Métropole Basket,64,,,
Sat Nov 29 2014,JDA Dijon,101,,JL Bourg,96,,,
Sat Nov 29 2014,Élan Béarnais Pau-Lacq-Orthez,72,,Élan Chalon,84,,,
Sat Nov 29 2014,Cholet Basket,81,,STB Le Havre,76,,,
Sat Nov 29 2014,Le Mans Sarthe Basket,61,,JSF Nanterre,73,,,
Sat Nov 29 2014,BCM Gravelines-Dunkerque,73,,Orléans Loiret Basket,88,,,
Sat Nov 29 2014,Champagne Châlons-Reims,75,,ASVEL Basket,89,,,
Mon Dec 1 2014,Limoges CSP,96,,SOMB Boulogne-sur-Mer,85,,,
Mon Dec 1 2014,SLUC Nancy,72,,SIG Strasbourg,82,,,
Tue Dec 2 2014,STB Le Havre,76,,Rouen Métropole Basket,68,,,
Fri Dec 5 2014,STB Le Havre,78,,BCM Gravelines-Dunkerque,69,,,
Fri Dec 5 2014,Le Mans Sarthe Basket,65,,Paris-Levallois Basket,74,,,
Fri Dec 5 2014,SOMB Boulogne-sur-Mer,59,,Élan Béarnais Pau-Lacq-Orthez,90,,,
Sat Dec 6 2014,Champagne Châlons-Reims,80,,Cholet Basket,77,,,
Sat Dec 6 2014,JSF Nanterre,105,,JDA Dijon,100,,,
Sat Dec 6 2014,JL Bourg,63,,SIG Strasbourg,76,,,
Sun Dec 7 2014,Rouen Métropole Basket,87,,Orléans Loiret Basket,83,,,
Mon Dec 8 2014,ASVEL Basket,66,,SLUC Nancy,72,,,
Tue Dec 9 2014,Élan Chalon,63,,Limoges CSP,78,,,
Fri Dec 12 2014,Élan Béarnais Pau-Lacq-Orthez,78,,Le Mans Sarthe Basket,83,,,
Fri Dec 12 2014,BCM Gravelines-Dunkerque,56,,ASVEL Basket,79,,,
Sat Dec 13 2014,JL Bourg,77,,Cholet Basket,91,,,
Sat Dec 13 2014,Paris-Levallois Basket,87,,STB Le Havre,73,,,
Sat Dec 13 2014,JDA Dijon,73,,SLUC Nancy,64,,,
Sat Dec 13 2014,Orléans Loiret Basket,81,,JSF Nanterre,94,,,
Sun Dec 14 2014,SIG Strasbourg,56,,Élan Chalon,52,,,
Mon Dec 15 2014,Rouen Métropole Basket,66,,SOMB Boulogne-sur-Mer,61,,,
Tue Dec 16 2014,Limoges CSP,92,,Champagne Châlons-Reims,103,,,
Fri Dec 19 2014,JSF Nanterre,105,,STB Le Havre,79,,,
Fri Dec 19 2014,Cholet Basket,81,,Élan Béarnais Pau-Lacq-Orthez,92,,,
Sat Dec 20 2014,Le Mans Sarthe Basket,87,,JL Bourg,65,,,
Sat Dec 20 2014,Orléans Loiret Basket,73,,JDA Dijon,81,,,
Sat Dec 20 2014,SLUC Nancy,71,,BCM Gravelines-Dunkerque,66,,,
Sat Dec 20 2014,SOMB Boulogne-sur-Mer,69,,Paris-Levallois Basket,86,,,
Sat Dec 20 2014,Élan Chalon,77,,Rouen Métropole Basket,70,,,
Sat Dec 20 2014,Champagne Châlons-Reims,63,,SIG Strasbourg,56,,,
Sat Dec 20 2014,Limoges CSP,83,,ASVEL Basket,74,,,
Mon Dec 22 2014,SIG Strasbourg,69,,JSF Nanterre,73,,,
Tue Dec 23 2014,JL Bourg,79,,SOMB Boulogne-sur-Mer,80,,,
Tue Dec 23 2014,JDA Dijon,76,,Élan Chalon,66,,,
Tue Dec 23 2014,BCM Gravelines-Dunkerque,73,,Le Mans Sarthe Basket,78,,,
Tue Dec 23 2014,Paris-Levallois Basket,65,,Limoges CSP,73,,,
Tue Dec 23 2014,Élan Béarnais Pau-Lacq-Orthez,83,,SLUC Nancy,75,,,
Tue Dec 23 2014,ASVEL Basket,78,,Orléans Loiret Basket,72,,,
Tue Dec 23 2014,STB Le Havre,96,,Champagne Châlons-Reims,84,,,
Tue Dec 23 2014,Cholet Basket,66,,Rouen Métropole Basket,98,,,
Fri Dec 26 2014,JSF Nanterre,99,,JL Bourg,83,,,
Fri Dec 26 2014,Orléans Loiret Basket,67,,Cholet Basket,89,,,
Fri Dec 26 2014,SOMB Boulogne-sur-Mer,78,,JDA Dijon,81,,,
Fri Dec 26 2014,Champagne Châlons-Reims,66,,BCM Gravelines-Dunkerque,75,,,
Fri Dec 26 2014,Élan Chalon,70,,STB Le Havre,79,,,
Fri Dec 26 2014,Rouen Métropole Basket,68,,SIG Strasbourg,77,,,
Sat Dec 27 2014,SLUC Nancy,77,,Paris-Levallois Basket,64,,,
Sat Dec 27 2014,Limoges CSP,69,,Élan Béarnais Pau-Lacq-Orthez,79,,,
Sat Dec 27 2014,Le Mans Sarthe Basket,67,,ASVEL Basket,80,,,
Sun Dec 28 2014,SIG Strasbourg,93,,SOMB Boulogne-sur-Mer,70,,,
Mon Dec 29 2014,Le Mans Sarthe Basket,88,,Élan Chalon,73,,,
Mon Dec 29 2014,BCM Gravelines-Dunkerque,62,,JDA Dijon,68,,,
Mon Dec 29 2014,Paris-Levallois Basket,88,,Orléans Loiret Basket,68,,,
Mon Dec 29 2014,JL Bourg,64,,Élan Béarnais Pau-Lacq-Orthez,77,,,
Mon Dec 29 2014,JSF Nanterre,83,,Champagne Châlons-Reims,80,,,
Mon Dec 29 2014,SLUC Nancy,67,,Rouen Métropole Basket,66,,,
Mon Dec 29 2014,STB Le Havre,65,,ASVEL Basket,54,,,
Sat Jan 10 2015,Cholet Basket,73,,Limoges CSP,83,,,
Sat Jan 17 2015,Orléans Loiret Basket,69,,Élan Chalon,85,,,
Sat Jan 17 2015,Paris-Levallois Basket,85,,Cholet Basket,78,,,
Sat Jan 17 2015,Élan Béarnais Pau-Lacq-Orthez,61,,STB Le Havre,69,,,
Sat Jan 17 2015,Limoges CSP,74,,Le Mans Sarthe Basket,59,,,
Sat Jan 17 2015,SOMB Boulogne-sur-Mer,74,,SLUC Nancy,105,,,
Sat Jan 17 2015,ASVEL Basket,65,,JSF Nanterre,76,,,
Sat Jan 17 2015,JDA Dijon,90,,Rouen Métropole Basket,84,,,
Sun Jan 18 2015,Champagne Châlons-Reims,81,,JL Bourg,62,,,
Mon Jan 19 2015,SIG Strasbourg,76,,BCM Gravelines-Dunkerque,62,,,
Fri Jan 23 2015,JDA Dijon,87,,Paris-Levallois Basket,75,,,
Fri Jan 23 2015,Rouen Métropole Basket,55,,Élan Béarnais Pau-Lacq-Orthez,83,,,
Fri Jan 23 2015,SOMB Boulogne-sur-Mer,91,,Champagne Châlons-Reims,87,,,
Sat Jan 24 2015,Orléans Loiret Basket,98,,JL Bourg,75,,,
Sat Jan 24 2015,Le Mans Sarthe Basket,85,,Cholet Basket,83,,,
Sat Jan 24 2015,STB Le Havre,54,,SIG Strasbourg,63,,,
Sat Jan 24 2015,SLUC Nancy,67,,ASVEL Basket,69,,,
Sun Jan 25 2015,JSF Nanterre,90,,Limoges CSP,72,,,
Mon Jan 26 2015,Élan Chalon,74,,BCM Gravelines-Dunkerque,65,,,
Fri Jan 30 2015,Rouen Métropole Basket,63,,STB Le Havre,71,,,
Sat Jan 31 2015,Paris-Levallois Basket,95,,SOMB Boulogne-sur-Mer,66,,,
Sat Jan 31 2015,JL Bourg,80,,Élan Chalon,73,,,
Sat Jan 31 2015,SIG Strasbourg,74,,JDA Dijon,70,,,
Sat Jan 31 2015,Champagne Châlons-Reims,88,,Le Mans Sarthe Basket,79,,,
Sat Jan 31 2015,BCM Gravelines-Dunkerque,61,,SLUC Nancy,67,,,
Sat Jan 31 2015,Élan Béarnais Pau-Lacq-Orthez,89,,Orléans Loiret Basket,75,,,
