Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 8 2011,Banca Cívica,60,,Laboral Kutxa,73,,,
Sun Oct 9 2011,Gescrap Bizkaia,77,,Lucentum Alicante,81,,,
Sun Oct 9 2011,Valencia Basket,69,,Asefa Estudiantes,71,,,
Sun Oct 9 2011,FIATC Mutua Joventut,59,,Assignia Manresa,71,,,
Sun Oct 9 2011,FC Barcelona Regal,62,,UCAM Murcia,54,,,
Sun Oct 9 2011,Mad-Croc Fuenlabrada,70,,Real Madrid,88,,,
Sun Oct 9 2011,Blu:sens Monbús,71,,Lagun Aro GBC,68,,,
Sun Oct 9 2011,Gran Canaria 2014,68,,Unicaja,85,,,
Wed Oct 12 2011,Asefa Estudiantes,51,,FC Barcelona Regal,97,,,
Wed Oct 12 2011,Assignia Manresa,79,,Mad-Croc Fuenlabrada,73,,,
Wed Oct 12 2011,Laboral Kutxa,77,,Gran Canaria 2014,68,,,
Wed Oct 12 2011,UCAM Murcia,65,,FIATC Mutua Joventut,71,,,
Wed Oct 12 2011,Unicaja,78,,Blu:sens Monbús,71,,,
Wed Oct 12 2011,Lucentum Alicante,61,,Banca Cívica,86,,,
Wed Oct 12 2011,CAI Zaragoza,66,,Valencia Basket,82,,,
Thu Oct 13 2011,Real Madrid,82,,Gescrap Bizkaia,86,,,
Thu Oct 13 2011,Lagun Aro GBC,86,,Blancos de Rueda Valladolid,89,,9OT,
Sat Oct 15 2011,Unicaja,95,,Lagun Aro GBC,92,,,
Sun Oct 16 2011,FIATC Mutua Joventut,72,,Gescrap Bizkaia,78,,,
Sun Oct 16 2011,Asefa Estudiantes,80,,Mad-Croc Fuenlabrada,88,,,
Sun Oct 16 2011,UCAM Murcia,54,,Gran Canaria 2014,66,,,
Sun Oct 16 2011,Assignia Manresa,49,,Blu:sens Monbús,61,,,
Sun Oct 16 2011,FC Barcelona Regal,75,,Banca Cívica,81,,,
Sun Oct 16 2011,Lucentum Alicante,70,,Valencia Basket,67,,,
Sun Oct 16 2011,Real Madrid,84,,Blancos de Rueda Valladolid,72,,,
Sun Oct 16 2011,Laboral Kutxa,66,,CAI Zaragoza,86,,,
Sat Oct 22 2011,Lagun Aro GBC,58,,Asefa Estudiantes,62,,,
Sun Oct 23 2011,Blancos de Rueda Valladolid,64,,Lucentum Alicante,91,,,
Sun Oct 23 2011,Gescrap Bizkaia,72,,FC Barcelona Regal,91,,,
Sun Oct 23 2011,Mad-Croc Fuenlabrada,73,,FIATC Mutua Joventut,62,,,
Sun Oct 23 2011,Gran Canaria 2014,60,,Assignia Manresa,69,,,
Sun Oct 23 2011,Banca Cívica,58,,UCAM Murcia,65,,,
Sun Oct 23 2011,Blu:sens Monbús,67,,Real Madrid,81,,,
Sun Oct 23 2011,CAI Zaragoza,57,,Unicaja,79,,,
Sun Oct 23 2011,Valencia Basket,82,,Laboral Kutxa,72,,,
Sat Oct 29 2011,Asefa Estudiantes,71,,FIATC Mutua Joventut,74,,,
Sat Oct 29 2011,Assignia Manresa,65,,Banca Cívica,76,,,
Sun Oct 30 2011,UCAM Murcia,80,,Gescrap Bizkaia,95,,,
Sun Oct 30 2011,FC Barcelona Regal,66,,Mad-Croc Fuenlabrada,56,,,
