Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 31 2006,8:00p,Chicago Bulls,108,Miami Heat,66,Box Score,,20229,AmericanAirlines Arena,
Tue Oct 31 2006,10:30p,Phoenix Suns,106,Los Angeles Lakers,114,Box Score,,18997,STAPLES Center,
Wed Nov 1 2006,7:00p,Indiana Pacers,106,Charlotte Bobcats,99,Box Score,,18518,Charlotte Bobcats Arena,
Wed Nov 1 2006,7:00p,Chicago Bulls,94,Orlando Magic,109,Box Score,,17451,Amway Arena,
Wed Nov 1 2006,7:00p,Atlanta Hawks,75,Philadelphia 76ers,88,Box Score,,17119,Wachovia Center,
Wed Nov 1 2006,7:30p,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,Box Score,,18624,TD Banknorth Garden,
Wed Nov 1 2006,7:30p,Toronto Raptors,92,New Jersey Nets,102,Box Score,,18646,Continental Airlines Arena,
Wed Nov 1 2006,8:00p,Washington Wizards,94,Cleveland Cavaliers,97,Box Score,,20562,Quicken Loans Arena,
Wed Nov 1 2006,8:00p,Milwaukee Bucks,105,Detroit Pistons,97,Box Score,,22076,The Palace of Auburn Hills,
Wed Nov 1 2006,8:00p,New York Knicks,118,Memphis Grizzlies,117,Box Score,3OT,17113,FedEx Forum,
Wed Nov 1 2006,8:00p,Sacramento Kings,83,Minnesota Timberwolves,92,Box Score,,19356,Target Center,
Wed Nov 1 2006,9:00p,Houston Rockets,97,Utah Jazz,107,Box Score,,18133,EnergySolutions Arena,
Wed Nov 1 2006,10:00p,Portland Trail Blazers,110,Seattle SuperSonics,106,Box Score,,17072,KeyArena at Seattle Center,
Wed Nov 1 2006,10:30p,Los Angeles Lakers,110,Golden State Warriors,98,Box Score,,19596,Oracle Arena,
Wed Nov 1 2006,10:30p,Los Angeles Clippers,104,Phoenix Suns,112,Box Score,,18422,US Airways Center,
Thu Nov 2 2006,8:00p,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,20416,American Airlines Center,
Thu Nov 2 2006,10:30p,Denver Nuggets,95,Los Angeles Clippers,96,Box Score,,18050,STAPLES Center,
Fri Nov 3 2006,7:00p,New Orleans/Oklahoma City Hornets,100,Indiana Pacers,91,Box Score,,18165,Conseco Fieldhouse,
Fri Nov 3 2006,7:00p,Philadelphia 76ers,105,Orlando Magic,103,Box Score,,17451,Amway Arena,
Fri Nov 3 2006,7:00p,Milwaukee Bucks,92,Toronto Raptors,109,Box Score,,19832,Air Canada Centre,
Fri Nov 3 2006,7:30p,New York Knicks,92,Atlanta Hawks,102,Box Score,,19604,Philips Arena,
Fri Nov 3 2006,7:30p,Detroit Pistons,101,Boston Celtics,88,Box Score,,18624,TD Banknorth Garden,
Fri Nov 3 2006,7:30p,New Jersey Nets,85,Miami Heat,91,Box Score,,19600,AmericanAirlines Arena,
Fri Nov 3 2006,8:00p,Charlotte Bobcats,83,Memphis Grizzlies,96,Box Score,,13787,FedEx Forum,
Fri Nov 3 2006,8:00p,Cleveland Cavaliers,88,San Antonio Spurs,81,Box Score,,18797,AT&T Center,
Fri Nov 3 2006,8:30p,Sacramento Kings,89,Chicago Bulls,88,Box Score,,22454,United Center,
Fri Nov 3 2006,9:00p,Minnesota Timberwolves,112,Denver Nuggets,109,Box Score,,19234,Pepsi Center,
Fri Nov 3 2006,9:00p,Utah Jazz,108,Phoenix Suns,104,Box Score,,18422,US Airways Center,
Fri Nov 3 2006,10:30p,Portland Trail Blazers,89,Golden State Warriors,102,Box Score,,17204,Oracle Arena,
Fri Nov 3 2006,10:30p,Seattle SuperSonics,112,Los Angeles Lakers,118,Box Score,,18997,STAPLES Center,
Sat Nov 4 2006,7:00p,Cleveland Cavaliers,88,Charlotte Bobcats,92,Box Score,,19147,Charlotte Bobcats Arena,
Sat Nov 4 2006,7:00p,Boston Celtics,117,Washington Wizards,124,Box Score,,20173,Verizon Center,
