Date,Team,PTS,,Opp,PTS,,OT,Notes
Wed Oct 7 2015,New Zealand Breakers,71,,Adelaide 36ers,90,,,
Thu Oct 8 2015,Illawarra Hawks,74,,Cairns Taipans,79,,,
Fri Oct 9 2015,Melbourne United,99,,Townsville Crocodiles,84,,,
Sat Oct 10 2015,Perth Wildcats,79,,Adelaide 36ers,66,,,
Sat Oct 10 2015,Cairns Taipans,63,,Sydney Kings,87,,,
Sun Oct 11 2015,Illawarra Hawks,81,,Melbourne United,93,,,
Sun Oct 11 2015,Townsville Crocodiles,81,,New Zealand Breakers,89,,,
Wed Oct 14 2015,New Zealand Breakers,75,,Illawarra Hawks,96,,,
Thu Oct 15 2015,Townsville Crocodiles,80,,Sydney Kings,77,,,
Fri Oct 16 2015,Adelaide 36ers,75,,Melbourne United,84,,,
Fri Oct 16 2015,New Zealand Breakers,80,,Perth Wildcats,83,,,
Sat Oct 17 2015,Townsville Crocodiles,74,,Cairns Taipans,80,,,
Sat Oct 17 2015,Illawarra Hawks,100,,Sydney Kings,86,,,
Wed Oct 21 2015,Townsville Crocodiles,62,,Melbourne United,93,,,
Wed Oct 21 2015,Sydney Kings,62,,New Zealand Breakers,74,,,
Thu Oct 22 2015,Cairns Taipans,79,,Adelaide 36ers,88,,,
Fri Oct 23 2015,Townsville Crocodiles,66,,Perth Wildcats,63,,,
Fri Oct 23 2015,Adelaide 36ers,91,,Sydney Kings,80,,,
Sat Oct 24 2015,Cairns Taipans,80,,Melbourne United,89,,,
Sun Oct 25 2015,Perth Wildcats,106,,Illawarra Hawks,99,,,
Wed Oct 28 2015,Cairns Taipans,67,,New Zealand Breakers,90,,,
Wed Oct 28 2015,Illawarra Hawks,96,,Townsville Crocodiles,88,,,
Thu Oct 29 2015,Perth Wildcats,73,,Melbourne United,75,,,
Fri Oct 30 2015,Townsville Crocodiles,78,,Sydney Kings,87,,,
Sat Oct 31 2015,Cairns Taipans,104,,Adelaide 36ers,101,,,
Sat Oct 31 2015,Illawarra Hawks,62,,Perth Wildcats,91,,,
Sun Nov 1 2015,Sydney Kings,82,,Melbourne United,96,,,
Wed Nov 4 2015,Perth Wildcats,77,,Townsville Crocodiles,89,,,
Thu Nov 5 2015,Adelaide 36ers,88,,New Zealand Breakers,98,,,
Thu Nov 5 2015,Melbourne United,105,,Sydney Kings,94,,,
Fri Nov 6 2015,Cairns Taipans,88,,Illawarra Hawks,96,,,
Fri Nov 6 2015,Perth Wildcats,85,,Townsville Crocodiles,77,,,
Sat Nov 7 2015,Sydney Kings,98,,Adelaide 36ers,99,,,
Sun Nov 8 2015,New Zealand Breakers,86,,Melbourne United,87,,,
Wed Nov 11 2015,Perth Wildcats,99,,Illawarra Hawks,96,,,
