Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 20 2006,Chicago Sky,83,Charlotte Sting,82,Box Score
Sat May 20 2006,New York Liberty,74,Connecticut Sun,91,Box Score
Sat May 20 2006,Detroit Shock,60,Indiana Fever,67,Box Score
Sat May 20 2006,Phoenix Mercury,78,Sacramento Monarchs,105,Box Score
Sun May 21 2006,San Antonio Silver Stars,79,Houston Comets,63,Box Score
Sun May 21 2006,Los Angeles Sparks,67,Seattle Storm,90,Box Score
Tue May 23 2006,Los Angeles Sparks,72,Charlotte Sting,65,Box Score
Tue May 23 2006,Sacramento Monarchs,76,Chicago Sky,63,Box Score
Tue May 23 2006,Connecticut Sun,81,Minnesota Lynx,69,Box Score
Tue May 23 2006,Indiana Fever,62,San Antonio Silver Stars,53,Box Score
Tue May 23 2006,Houston Comets,84,Seattle Storm,59,Box Score
Tue May 23 2006,New York Liberty,60,Washington Mystics,95,Box Score
Wed May 24 2006,Minnesota Lynx,69,Detroit Shock,78,Box Score
Thu May 25 2006,Washington Mystics,63,Charlotte Sting,73,Box Score
Thu May 25 2006,Seattle Storm,94,Phoenix Mercury,81,Box Score
Thu May 25 2006,Houston Comets,81,Sacramento Monarchs,66,Box Score
Thu May 25 2006,Los Angeles Sparks,80,San Antonio Silver Stars,71,Box Score
Fri May 26 2006,Indiana Fever,75,Chicago Sky,60,Box Score
Sat May 27 2006,Detroit Shock,77,Connecticut Sun,73,Box Score
Sat May 27 2006,Minnesota Lynx,75,Washington Mystics,90,Box Score
Tue May 30 2006,Los Angeles Sparks,64,Chicago Sky,55,Box Score
Tue May 30 2006,New York Liberty,70,Indiana Fever,91,Box Score
Wed May 31 2006,Indiana Fever,60,Houston Comets,73,Box Score
Wed May 31 2006,Los Angeles Sparks,71,Minnesota Lynx,114,Box Score
Wed May 31 2006,San Antonio Silver Stars,82,Phoenix Mercury,76,Box Score
Wed May 31 2006,Seattle Storm,66,Sacramento Monarchs,87,Box Score
Thu Jun 1 2006,Connecticut Sun,89,Charlotte Sting,65,Box Score
Thu Jun 1 2006,New York Liberty,63,Detroit Shock,64,Box Score
Fri Jun 2 2006,Chicago Sky,60,Houston Comets,71,Box Score
Fri Jun 2 2006,Indiana Fever,87,Minnesota Lynx,92,Box Score
Fri Jun 2 2006,San Antonio Silver Stars,74,Sacramento Monarchs,71,Box Score
Fri Jun 2 2006,Phoenix Mercury,87,Seattle Storm,97,Box Score
Sat Jun 3 2006,Charlotte Sting,71,Connecticut Sun,89,Box Score
Sat Jun 3 2006,Los Angeles Sparks,79,New York Liberty,89,Box Score
Sat Jun 3 2006,Detroit Shock,68,Washington Mystics,92,Box Score
Sun Jun 4 2006,Detroit Shock,81,Chicago Sky,66,Box Score
Sun Jun 4 2006,Minnesota Lynx,62,Houston Comets,85,Box Score
Sun Jun 4 2006,San Antonio Silver Stars,89,Seattle Storm,87,Box Score
Tue Jun 6 2006,Sacramento Monarchs,76,Phoenix Mercury,90,Box Score
Tue Jun 6 2006,Houston Comets,79,Washington Mystics,93,Box Score
Wed Jun 7 2006,Washington Mystics,70,Indiana Fever,83,Box Score
Wed Jun 7 2006,Detroit Shock,78,Los Angeles Sparks,86,Box Score
Wed Jun 7 2006,Connecticut Sun,75,New York Liberty,60,Box Score
Wed Jun 7 2006,Chicago Sky,73,Seattle Storm,86,Box Score
Fri Jun 9 2006,Indiana Fever,59,Charlotte Sting,70,Box Score
Fri Jun 9 2006,Seattle Storm,81,Connecticut Sun,85,Box Score
Fri Jun 9 2006,New York Liberty,62,Houston Comets,97,Box Score
Fri Jun 9 2006,Chicago Sky,65,Los Angeles Sparks,73,Box Score
Fri Jun 9 2006,Detroit Shock,79,Phoenix Mercury,93,Box Score
Fri Jun 9 2006,Minnesota Lynx,86,San Antonio Silver Stars,79,Box Score
Sat Jun 10 2006,Chicago Sky,70,Sacramento Monarchs,80,Box Score
Sat Jun 10 2006,New York Liberty,71,San Antonio Silver Stars,67,Box Score
Sun Jun 11 2006,Washington Mystics,71,Connecticut Sun,85,Box Score
Sun Jun 11 2006,Seattle Storm,62,Indiana Fever,69,Box Score
Sun Jun 11 2006,Houston Comets,62,Minnesota Lynx,75,Box Score
Tue Jun 13 2006,Phoenix Mercury,84,Los Angeles Sparks,98,Box Score
Tue Jun 13 2006,Indiana Fever,80,New York Liberty,78,Box Score
Tue Jun 13 2006,Charlotte Sting,70,Washington Mystics,87,Box Score
Wed Jun 14 2006,Sacramento Monarchs,66,Houston Comets,73,Box Score
Wed Jun 14 2006,Seattle Storm,74,Minnesota Lynx,66,Box Score
Thu Jun 15 2006,Washington Mystics,96,Charlotte Sting,77,Box Score
Thu Jun 15 2006,Seattle Storm,74,Chicago Sky,61,Box Score
Fri Jun 16 2006,Indiana Fever,63,Detroit Shock,71,Box Score
Fri Jun 16 2006,Houston Comets,72,New York Liberty,58,Box Score
Fri Jun 16 2006,Connecticut Sun,86,Phoenix Mercury,91,Box Score
Fri Jun 16 2006,Minnesota Lynx,60,San Antonio Silver Stars,90,Box Score
Sat Jun 17 2006,San Antonio Silver Stars,69,Chicago Sky,65,Box Score
Sat Jun 17 2006,Houston Comets,55,Detroit Shock,71,Box Score
Sat Jun 17 2006,Connecticut Sun,70,Los Angeles Sparks,82,Box Score
Sat Jun 17 2006,Seattle Storm,74,Sacramento Monarchs,76,Box Score
Sat Jun 17 2006,New York Liberty,70,Washington Mystics,88,Box Score
Sun Jun 18 2006,Charlotte Sting,85,Indiana Fever,92,Box Score
Sun Jun 18 2006,Sacramento Monarchs,69,Los Angeles Sparks,80,Box Score
Sun Jun 18 2006,Phoenix Mercury,82,Minnesota Lynx,94,Box Score
Tue Jun 20 2006,Connecticut Sun,90,Charlotte Sting,66,Box Score
Wed Jun 21 2006,Chicago Sky,55,Indiana Fever,77,Box Score
Wed Jun 21 2006,Houston Comets,55,Los Angeles Sparks,75,Box Score
Wed Jun 21 2006,Washington Mystics,66,New York Liberty,72,Box Score
Wed Jun 21 2006,San Antonio Silver Stars,69,Sacramento Monarchs,75,Box Score
Wed Jun 21 2006,Phoenix Mercury,87,Seattle Storm,80,Box Score
Thu Jun 22 2006,Detroit Shock,86,Charlotte Sting,74,Box Score
Thu Jun 22 2006,Minnesota Lynx,62,Connecticut Sun,79,Box Score
Fri Jun 23 2006,Connecticut Sun,84,Chicago Sky,79,Box Score
Fri Jun 23 2006,Charlotte Sting,70,Houston Comets,85,Box Score
Fri Jun 23 2006,Indiana Fever,83,Phoenix Mercury,73,Box Score
Fri Jun 23 2006,Los Angeles Sparks,77,Sacramento Monarchs,63,Box Score
Fri Jun 23 2006,San Antonio Silver Stars,57,Seattle Storm,87,Box Score
Sat Jun 24 2006,Washington Mystics,86,Detroit Shock,92,Box Score
Sat Jun 24 2006,New York Liberty,93,Minnesota Lynx,83,Box Score
Sun Jun 25 2006,Charlotte Sting,61,Detroit Shock,71,Box Score
Sun Jun 25 2006,Seattle Storm,74,Houston Comets,84,Box Score
Sun Jun 25 2006,San Antonio Silver Stars,80,Los Angeles Sparks,105,Box Score
Sun Jun 25 2006,Chicago Sky,77,Phoenix Mercury,90,Box Score
Sun Jun 25 2006,Indiana Fever,61,Sacramento Monarchs,82,Box Score
Sun Jun 25 2006,Connecticut Sun,80,Washington Mystics,87,Box Score
Tue Jun 27 2006,Houston Comets,57,Connecticut Sun,73,Box Score
Tue Jun 27 2006,Charlotte Sting,73,New York Liberty,67,Box Score
Tue Jun 27 2006,Detroit Shock,63,San Antonio Silver Stars,59,Box Score
Tue Jun 27 2006,Sacramento Monarchs,53,Seattle Storm,68,Box Score
Tue Jun 27 2006,Indiana Fever,74,Washington Mystics,67,Box Score
Wed Jun 28 2006,Seattle Storm,75,Los Angeles Sparks,67,Box Score
Wed Jun 28 2006,Minnesota Lynx,78,Phoenix Mercury,81,Box Score
Thu Jun 29 2006,Charlotte Sting,69,Chicago Sky,75,Box Score
Thu Jun 29 2006,Washington Mystics,76,Houston Comets,83,Box Score
Thu Jun 29 2006,Detroit Shock,56,Indiana Fever,66,Box Score
Thu Jun 29 2006,Minnesota Lynx,78,Sacramento Monarchs,87,Box Score
Fri Jun 30 2006,Detroit Shock,70,Connecticut Sun,64,Box Score
Fri Jun 30 2006,Phoenix Mercury,83,Los Angeles Sparks,85,Box Score
Fri Jun 30 2006,San Antonio Silver Stars,91,New York Liberty,78,Box Score
Sat Jul 1 2006,Sacramento Monarchs,65,Charlotte Sting,57,Box Score
Sat Jul 1 2006,Connecticut Sun,76,Indiana Fever,66,Box Score
Sat Jul 1 2006,Washington Mystics,75,Los Angeles Sparks,80,Box Score
Sat Jul 1 2006,Chicago Sky,57,San Antonio Silver Stars,69,Box Score
Sat Jul 1 2006,Minnesota Lynx,75,Seattle Storm,92,Box Score
Sun Jul 2 2006,Sacramento Monarchs,62,Houston Comets,77,Box Score
Sun Jul 2 2006,Washington Mystics,81,Phoenix Mercury,78,Box Score
Mon Jul 3 2006,San Antonio Silver Stars,85,Los Angeles Sparks,63,Box Score
Wed Jul 5 2006,Houston Comets,62,Los Angeles Sparks,74,Box Score
Wed Jul 5 2006,Washington Mystics,74,Minnesota Lynx,84,Box Score
Thu Jul 6 2006,Charlotte Sting,71,Connecticut Sun,76,Box Score
Thu Jul 6 2006,Phoenix Mercury,91,Detroit Shock,76,Box Score
Thu Jul 6 2006,Sacramento Monarchs,79,New York Liberty,58,Box Score
Fri Jul 7 2006,New York Liberty,73,Chicago Sky,78,Box Score
Fri Jul 7 2006,Indiana Fever,60,Los Angeles Sparks,72,Box Score
Fri Jul 7 2006,Detroit Shock,92,Minnesota Lynx,80,Box Score
Fri Jul 7 2006,Houston Comets,75,San Antonio Silver Stars,94,Box Score
Fri Jul 7 2006,Sacramento Monarchs,73,Washington Mystics,60,Box Score
Sat Jul 8 2006,Phoenix Mercury,77,Connecticut Sun,82,Box Score
Sat Jul 8 2006,Charlotte Sting,64,Los Angeles Sparks,66,Box Score
Sun Jul 9 2006,Detroit Shock,66,Houston Comets,60,Box Score
Sun Jul 9 2006,San Antonio Silver Stars,80,Minnesota Lynx,85,Box Score
Sun Jul 9 2006,Phoenix Mercury,94,New York Liberty,88,Box Score
Sun Jul 9 2006,Charlotte Sting,61,Sacramento Monarchs,70,Box Score
Sun Jul 9 2006,Indiana Fever,74,Seattle Storm,62,Box Score
Sun Jul 9 2006,Chicago Sky,83,Washington Mystics,89,Box Score
Fri Jul 14 2006,San Antonio Silver Stars,65,Charlotte Sting,81,Box Score
Fri Jul 14 2006,Houston Comets,82,Chicago Sky,77,Box Score
Fri Jul 14 2006,Los Angeles Sparks,95,Phoenix Mercury,85,Box Score
Fri Jul 14 2006,New York Liberty,66,Seattle Storm,86,Box Score
Sat Jul 15 2006,Indiana Fever,65,Charlotte Sting,75,Box Score
Sat Jul 15 2006,Connecticut Sun,63,Sacramento Monarchs,69,Box Score
Sun Jul 16 2006,Washington Mystics,83,Chicago Sky,75,Box Score
Sun Jul 16 2006,San Antonio Silver Stars,67,Detroit Shock,77,Box Score
Sun Jul 16 2006,Houston Comets,56,Indiana Fever,60,Box Score
Sun Jul 16 2006,Los Angeles Sparks,90,Minnesota Lynx,78,Box Score
Sun Jul 16 2006,New York Liberty,70,Phoenix Mercury,80,Box Score
Sun Jul 16 2006,Connecticut Sun,92,Seattle Storm,83,Box Score
