ate,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 19 2007,Sacramento Monarchs,68,Detroit Shock,75,Box Score
Sat May 19 2007,Minnesota Lynx,64,Indiana Fever,83,Box Score
Sat May 19 2007,San Antonio Silver Stars,72,Phoenix Mercury,81,Box Score
Sat May 19 2007,Houston Comets,69,Seattle Storm,82,Box Score
Sat May 19 2007,Connecticut Sun,89,Washington Mystics,80,Box Score
Sun May 20 2007,Sacramento Monarchs,74,Minnesota Lynx,64,Box Score
Sun May 20 2007,Chicago Sky,71,New York Liberty,83,Box Score
Tue May 22 2007,Los Angeles Sparks,81,Chicago Sky,64,Box Score
Tue May 22 2007,Minnesota Lynx,75,Detroit Shock,85,Box Score
Tue May 22 2007,Sacramento Monarchs,70,Washington Mystics,52,Box Score
Wed May 23 2007,Connecticut Sun,71,San Antonio Silver Stars,74,Box Score
Wed May 23 2007,Phoenix Mercury,87,Seattle Storm,100,Box Score
Thu May 24 2007,Los Angeles Sparks,70,Indiana Fever,83,Box Score
Thu May 24 2007,Washington Mystics,76,New York Liberty,81,Box Score
Fri May 25 2007,Chicago Sky,82,Minnesota Lynx,77,Box Score
Fri May 25 2007,Houston Comets,85,Phoenix Mercury,111,Box Score
Fri May 25 2007,Seattle Storm,71,San Antonio Silver Stars,82,Box Score
Sat May 26 2007,Los Angeles Sparks,88,Connecticut Sun,68,Box Score
Tue May 29 2007,San Antonio Silver Stars,82,Houston Comets,71,Box Score
Tue May 29 2007,Indiana Fever,89,Minnesota Lynx,75,Box Score
Tue May 29 2007,Sacramento Monarchs,75,Phoenix Mercury,76,Box Score
Wed May 30 2007,Washington Mystics,79,Detroit Shock,94,Box Score
Thu May 31 2007,Connecticut Sun,102,Chicago Sky,97,Box Score
Thu May 31 2007,Phoenix Mercury,97,San Antonio Silver Stars,85,Box Score
Fri Jun 1 2007,New York Liberty,70,Minnesota Lynx,60,Box Score
Fri Jun 1 2007,Chicago Sky,75,Washington Mystics,70,Box Score
Sat Jun 2 2007,Phoenix Mercury,67,Connecticut Sun,76,Box Score
Sat Jun 2 2007,Detroit Shock,77,Houston Comets,71,Box Score
Sat Jun 2 2007,Los Angeles Sparks,85,Sacramento Monarchs,88,Box Score
Sat Jun 2 2007,San Antonio Silver Stars,78,Seattle Storm,68,Box Score
Sun Jun 3 2007,Minnesota Lynx,72,Chicago Sky,78,Box Score
Sun Jun 3 2007,Washington Mystics,66,Indiana Fever,70,Box Score
Sun Jun 3 2007,Phoenix Mercury,82,New York Liberty,83,Box Score
Tue Jun 5 2007,Indiana Fever,67,New York Liberty,78,Box Score
Tue Jun 5 2007,Minnesota Lynx,90,Phoenix Mercury,85,Box Score
Tue Jun 5 2007,San Antonio Silver Stars,57,Sacramento Monarchs,74,Box Score
Wed Jun 6 2007,Houston Comets,59,Indiana Fever,84,Box Score
Thu Jun 7 2007,Chicago Sky,66,Phoenix Mercury,80,Box Score
