Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2017-09-02	14:00 (07:00)	Wolfsburg	6–0	Hoffenheim	1,522	AOK Stadion	Katrin Rafalski	Match Report	
1	Sat	2017-09-02	14:00 (07:00)	Essen	0–3	Bayern Munich	2,132	Stadion Essen	Marina Wozniak	Match Report	
1	Sun	2017-09-03	11:00 (04:00)	Werder Bremen	0–3	Sand	463	Weserstadion Platz 11	Sandra Stolz	Match Report	
1	Sun	2017-09-03	11:00 (04:00)	FFC Frankfurt	2–0	Köln	1,410	Stadion am Brentanobad	Christina Biehl	Match Report	
1	Sun	2017-09-03	13:30 (06:30)	Turbine Potsdam	4–1	USV Jena	1,980	Karl-Liebknecht-Stadion	Angelika Söder	Match Report	
1	Sun	2017-09-03	14:00 (07:00)	Freiburg	1–0	MSV Duisburg	932	Möslestadion	Karoline Wacker	Match Report	
											
2	Sat	2017-09-09	13:00 (06:00)	Bayern Munich	0–1	Freiburg	610	Städtisches Stadion an der Grünwalder St...	Ines Appelmann	Match Report	
2	Sat	2017-09-09	14:00 (07:00)	USV Jena	2–2	Werder Bremen	436	Ernst-Abbe-Sportfeld	Melissa Joos	Match Report	
2	Sat	2017-09-09	14:00 (07:00)	Sand	0–4	Wolfsburg	1,142	Orsay Stadion	Kathrin Heimann	Match Report	
2	Sat	2017-09-09	14:00 (07:00)	MSV Duisburg	0–1	Turbine Potsdam	412	PCC-Stadion	Susann Kunkel	Match Report	
2	Sat	2017-09-09	14:00 (07:00)	Köln	2–5	Essen	250	Südstadion	Miriam Schweinefuss	Match Report	
2	Sat	2017-09-09	14:00 (07:00)	Hoffenheim	0–1	FFC Frankfurt	520	Dietmar-Hopp-Stadion	Marina Wozniak	Match Report	
											
3	Sun	2017-09-24	11:00 (04:00)	FFC Frankfurt	1–2	Sand	1,310	Stadion am Brentanobad	Susann Kunkel	Match Report	
3	Sun	2017-09-24	14:00 (07:00)	Essen	1–2	Hoffenheim	1,005	Stadion Essen	Fabienne Michel	Match Report	
3	Sun	2017-09-24	14:00 (07:00)	Bayern Munich	2–0	Köln	410	Städtisches Stadion an der Grünwalder St...	Christine Weigelt 	Match Report	
3	Sun	2017-09-24	14:00 (07:00)	Werder Bremen	2–1	MSV Duisburg	360	Weserstadion Platz 11	Laura Duske	Match Report	
3	Sun	2017-09-24	14:00 (07:00)	Wolfsburg	5–0	USV Jena	1,312	AOK Stadion	Mirka Derlin	Match Report	
3	Sun	2017-09-24	14:00 (07:00)	Freiburg	1–1	Turbine Potsdam	1,050	Möslestadion	Sina Diekmann	Match Report	
											
4	Sun	2017-10-01	11:00 (04:00)	Sand	1–3	Essen	711	Orsay Stadion	Hanna Schlemmer	Match Report	
4	Sun	2017-10-01	14:00 (07:00)	Hoffenheim	0–4	Bayern Munich	1,760	Dietmar-Hopp-Stadion	Sina Diekmann	Match Report	
4	Sun	2017-10-01	14:00 (07:00)	Köln	0–7	Freiburg	270	Südstadion	Angelika Söder	Match Report	
4	Sun	2017-10-01	14:00 (07:00)	MSV Duisburg	0–1	Wolfsburg	659	PCC-Stadion	Christina Biehl	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
4	Sun	2017-10-01	14:00 (07:00)	USV Jena	0–1	FFC Frankfurt	411	Ernst-Abbe-Sportfeld	Sandra Stolz	Match Report	
4	Mon	2017-10-02	18:00 (11:00)	Turbine Potsdam	1–1	Werder Bremen	1,252	Karl-Liebknecht-Stadion	Kathrin Heimann	Match Report	
											
5	Sun	2017-10-15	11:00 (04:00)	Freiburg	4–1	Werder Bremen	690	Möslestadion	Fabienne Michel	Match Report	
5	Sun	2017-10-15	11:00 (04:00)	FFC Frankfurt	2–1	MSV Duisburg	1,320	Stadion am Brentanobad	Kathrin Heimann	Match Report	
5	Sun	2017-10-15	13:00 (06:00)	Bayern Munich	2–0	Sand	622	Städtisches Stadion an der Grünwalder St...	Melissa Joos	Match Report	
5	Sun	2017-10-15	14:00 (07:00)	Köln	0–3	Hoffenheim	247	Südstadion	Hanna Schlemmer	Match Report	
5	Sun	2017-10-15	14:00 (07:00)	Essen	6–0	USV Jena	1,061	Stadion Essen	Christine Weigelt 	Match Report	
5	Sun	2017-10-15	15:00 (08:00)	Wolfsburg	2–2	Turbine Potsdam	2,041	AOK Stadion	Marina Wozniak	Match Report	
											
6	Sun	2017-10-29	11:00 (05:00)	Sand	3–0	Köln	478	Orsay Stadion	Fabienne Michel	Match Report	
