Wk 	Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Fri	2022-09-16	19:15 (12:15)	Eint Frankfurt	0.7	0–0	0.5	Bayern Munich	23,200	Stadion am Brentanobad	Katrin Rafalski	Match Report	
1	Sat	2022-09-17	13:00 (06:00)	Wolfsburg	4.2	4–0	0.9	Essen	3,217	AOK Stadion	Mirka Derlin	Match Report	
1	Sun	2022-09-18	13:00 (06:00)	Köln	1.9	3–1	1.1	Hoffenheim		Franz-Kremer-Stadion	Melissa Joos	Match Report	
1	Sun	2022-09-18	13:00 (06:00)	SV Meppen	1.0	1–2	0.8	Freiburg		Hänsch-Arena	Annika Kost	Match Report	
1	Sun	2022-09-18	16:00 (09:00)	Werder Bremen	0.7	1–1	0.7	Turbine Potsdam	578	Weserstadion Platz 11	Anna-Lena Heidenreich	Match Report	
1	Sun	2022-09-18	16:00 (09:00)	MSV Duisburg	0.0	0–1	2.4	Leverkusen	424	Schauinsland-Reisen-Arena	Fabienne Michel	Match Report	
													
2	Fri	2022-09-23	19:15 (12:15)	Leverkusen	1.7	1–0	1.6	Köln	1,700	Ulrich-Haberland-Stadion	Nadine Westerhoff	Match Report	
2	Sat	2022-09-24	17:55 (10:55)	Hoffenheim	0.7	1–2	2.9	Wolfsburg	7,109	PreZero Arena	Angelika Söder	Match Report	
2	Sun	2022-09-25	13:00 (06:00)	Bayern Munich	2.1	3–0	0.7	Werder Bremen	2,500	FC Bayern Campus Platz 1	Miriam Schwermer	Match Report	
2	Sun	2022-09-25	13:00 (06:00)	Turbine Potsdam	0.4	0–3	1.1	MSV Duisburg	1,285	Karl-Liebknecht-Stadion	Mirka Derlin	Match Report	
2	Sun	2022-09-25	16:00 (09:00)	Essen	1.4	1–0	0.2	SV Meppen	2,500	Stadion Essen	Kathrin Heimann	Match Report	
2	Sun	2022-09-25	16:00 (09:00)	Freiburg	1.4	2–4	2.2	Eint Frankfurt	2,500	Schwarzwald-Stadion	Karoline Wacker	Match Report	
													
3	Fri	2022-09-30	19:16 (12:16)	Wolfsburg	2.2	6–1	1.0	Leverkusen	2,619	AOK Stadion	Franziska Wildfeuer	Match Report	
