Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2020-09-05	14:30 (07:30)	Fleury	0–0	Montpellier	302	Stade Auguste Gentelet	Charlène Laur	Match Report	
1	Sat	2020-09-05	14:30 (07:30)	Stade de Reims	4–4	Bordeaux	179	Stade Louis Blériot N°2 	Romy Fournier	Match Report	
1	Sat	2020-09-05	14:30 (07:30)	Issy	0–4	Le Havre	219	Stade Le Gallo	Emeline Rochebiliere	Match Report	
1	Sat	2020-09-05	14:30 (07:30)	Soyaux	2–1	Dijon	312	Stade Lebon 1	Savina Elbour	Match Report	
1	Sat	2020-09-05	18:30 (11:30)	Paris S-G	4–1	Guingamp		Stade Municipal Georges Lefèvre	Maika Vanderstichel	Match Report	
1	Sun	2020-09-06	17:00 (10:00)	Lyon	4–0	Paris FC	636	Groupama OL Academy Décines-Charpieu 	Victoria Beyer	Match Report	
											
2	Fri	2020-09-11	18:30 (11:30)	Stade de Reims	0–3	Lyon	1,500	Stade Auguste-Delaune II	Justine Catania	Match Report	
2	Fri	2020-09-11	18:30 (11:30)	Montpellier	2–0	Guingamp		Stade Bernard Gasset Terrain n°7	Savina Elbour	Match Report	
2	Sat	2020-09-12	14:30 (07:30)	Paris FC	2–0	Soyaux	211	Stade Robert Bobin	Charlène Laur	Match Report	
2	Sat	2020-09-12	14:30 (07:30)	Le Havre	1–3	Fleury	907	Stade Océane	Romy Fournier	Match Report	
2	Sat	2020-09-12	14:30 (07:30)	Dijon	3–1	Issy		Stade des Poussots 1	Maika Vanderstichel	Match Report	
2	Sun	2020-09-13	12:45 (05:45)	Bordeaux	0–0	Paris S-G	749	Stade Jean-Antoine Moueix	Victoria Beyer	Match Report	
											
3	Fri	2020-09-25	18:30 (11:30)	Paris S-G	4–0	Stade de Reims	450	Stade Jean-Bouin	Savina Elbour	Match Report	
3	Sat	2020-09-26	14:30 (07:30)	Guingamp	1–2	Dijon	156	Stade Centre Formation EAG 1	Emeline Rochebiliere	Match Report	
3	Sat	2020-09-26	14:30 (07:30)	Issy	0–1	Fleury	128	Stade Le Gallo	Victoria Beyer	Match Report	
3	Sat	2020-09-26	14:30 (07:30)	Soyaux	1–4	Montpellier	301	Stade Lebon 1	Vanessa Cruchon	Match Report	
3	Sat	2020-09-26	14:30 (07:30)	Paris FC	1–1	Le Havre	161	Stade Robert Bobin	Maika Vanderstichel	Match Report	
3	Sun	2020-09-27	21:00 (14:00)	Lyon	2–1	Bordeaux	330	Groupama OL Academy Décines-Charpieu 	Alexandra Collin	Match Report	
											
4	Fri	2020-10-02	18:30 (11:30)	Fleury	0–3	Lyon	865	Stade Auguste Gentelet	Charlène Laur	Match Report	
4	Fri	2020-10-02	18:30 (11:30)	Le Havre	0–1	Soyaux	946	Stade Océane	Gabrielle Guillot	Match Report	
4	Sat	2020-10-03	14:30 (07:30)	Bordeaux	1–0	Guingamp	372	Stade Sainte-Germaine	Justine Catania	Match Report	
4	Sat	2020-10-03	14:30 (07:30)	Montpellier	2–1	Paris FC		Stade Bernard Gasset Terrain n°7	Alexandra Collin	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
4	Sat	2020-10-03	14:30 (07:30)	Stade de Reims	7–1	Issy	124	Stade Louis Blériot N°2 	Romy Fournier	Match Report	
4	Sun	2020-10-04	15:00 (08:00)	Dijon	0–3	Paris S-G		Stade des Poussots 1	Vanessa Cruchon	Match Report	
											
5	Sat	2020-10-10	14:30 (07:30)	Guingamp	3–0	Soyaux	202	Stade Centre Formation EAG 1	Charlène Laur	Match Report	
5	Sat	2020-10-10	14:30 (07:30)	Bordeaux	6–1	Fleury	463	Stade Sainte-Germaine	Gabrielle Guillot	Match Report	
5	Sat	2020-10-10	14:30 (07:30)	Le Havre	0–1	Stade de Reims	990	Stade Océane	Alexandra Collin	Match Report	
5	Sat	2020-10-10	14:30 (07:30)	Paris FC	5–0	Issy	115	Stade Robert Bobin	Emeline Rochebiliere	Match Report	
5	Sat	2020-10-10	20:45 (13:45)	Paris S-G	4–0	Montpellier	155	Stade Municipal Georges Lefèvre	Maika Vanderstichel	Match Report	
5	Sun	2020-10-11	17:00 (10:00)	Lyon	2–0	Dijon	466	Groupama OL Academy Décines-Charpieu 	Victoria Beyer	Match Report	
											
6	Fri	2020-10-16	20:45 (13:45)	Lyon	4–0	Guingamp	750	Groupama OL Academy Décines-Charpieu 	Romy Fournier	Match Report	
6	Sat	2020-10-17	14:30 (07:30)	Issy	3–1	Bordeaux	120	Stade Le Gallo	Charlène Laur	Match Report	
6	Sat	2020-10-17	14:30 (07:30)	Dijon	2–1	Le Havre		Stade des Poussots 1	Savina Elbour	Match Report	
6	Sat	2020-10-17	14:30 (07:30)	Stade de Reims	0–1	Montpellier	182	Stade Louis Blériot N°2 	Justine Catania	Match Report	
6	Sat	2020-10-17	14:30 (07:30)	Fleury	1–1	Paris FC	320	Stade Auguste Gentelet	Emeline Rochebiliere	Match Report	
6	Sun	2020-10-18	12:45 (05:45)	Soyaux	0–3	Paris S-G	694	Stade Lebon 1	Alexandra Collin	Match Report	
											
