Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2019-09-14	15:00 (08:00)	Orobica Calcio	1–1	Tavagnacco	100	Stadio Giacinto Facchetti	Dario Duzel	Match Report	
1	Sat	2019-09-14	15:00 (08:00)	Internazionale	2–2	Hellas Verona	400	Stadio Felice Chinetti	Adolfo Baratta	Match Report	
1	Sat	2019-09-14	15:00 (08:00)	Pink Bari	3–3	Sassuolo	400	Stadio Antonio Antonacci	Maurizio Barbiero	Match Report	
1	Sat	2019-09-14	20:45 (13:45)	Juventus	2–1	Empoli	300	Juventus Training Center	Luca De Angeli	Match Report	
1	Sun	2019-09-15	12:30 (05:30)	AS Roma	0–3	Milan	800	Stadio Tre Fontane	Gianluca Grasso	Match Report	
1	Sun	2019-09-15	15:00 (08:00)	Florentia	2–4	Fiorentina	800	Stadio Comunale Santa Lucia	Valerio Crezzini	Match Report	
											
2	Sat	2019-09-21	15:00 (08:00)	Empoli	0–1	Internazionale	300	Centro Sportivo Monteboro	Simone Taricone	Match Report	
2	Sat	2019-09-21	15:00 (08:00)	Milan	4–1	Orobica Calcio	200	Stadio Comunale Brianteo	Alessandro Cutrufo	Match Report	
2	Sat	2019-09-21	15:00 (08:00)	Hellas Verona	2–1	Florentia	150	Stadio AGSM Olivieri	Matteo Frosi	Match Report	
2	Sat	2019-09-21	15:00 (08:00)	Sassuolo	1–3	Juventus	600	Stadio Enzo Ricci	Julio Milan Silvera	Match Report	
2	Sat	2019-09-21	15:00 (08:00)	Tavagnacco	1–1	Pink Bari	150	Stadio Comunale di Tavagnacco	Francesco Lipizer	Match Report	
2	Sun	2019-09-22	12:30 (05:30)	Fiorentina	0–2	AS Roma	400	Stadio Comunale Gino Bozzi	Dario Madonia	Match Report	
											
3	Sat	2019-10-12	15:00 (08:00)	Orobica Calcio	0–1	Sassuolo	150	Stadio Giacinto Facchetti	Roberto Lovison	Match Report	
3	Sat	2019-10-12	15:00 (08:00)	Fiorentina	2–1	Tavagnacco	250	Stadio Comunale Gino Bozzi	Silvia Gasperotti	Match Report	
3	Sat	2019-10-12	15:00 (08:00)	Pink Bari	0–0	Hellas Verona	200	Stadio Antonio Antonacci	Giuseppe Vingo	Match Report	
3	Sat	2019-10-12	15:00 (08:00)	AS Roma	4–0	Empoli	500	Stadio Tre Fontane	Simone Pistarelli	Match Report	
3	Sun	2019-10-13	12:30 (05:30)	Juventus	3–1	Florentia	300	Juventus Training Center	Andrea Calzavara	Match Report	
3	Sun	2019-10-13	15:00 (08:00)	Internazionale	1–3	Milan	4,000	Stadio Ernesto Breda	Valentina Finzi	Match Report	
											
4	Sat	2019-10-19	15:00 (08:00)	Empoli	4–1	Orobica Calcio	150	Centro Sportivo Monteboro	Cristian Robilotta	Match Report	
4	Sat	2019-10-19	15:00 (08:00)	Milan	2–0	Tavagnacco	300	Centro Sportivo Peppino Vismara	Dario Madonia	Match Report	
4	Sat	2019-10-19	15:00 (08:00)	Sassuolo	1–2	Fiorentina	500	Stadio Comunale Mirabello	Domenico Castellone	Match Report	
4	Sat	2019-10-19	15:00 (08:00)	Hellas Verona	0–4	AS Roma	300	Stadio AGSM Olivieri	Bogdan Sfira	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
4	Sat	2019-10-19	15:00 (08:00)	Florentia	3–2	Pink Bari	200	Stadio Comunale Santa Lucia	Claudio Campobasso	Match Report	
4	Sun	2019-10-20	12:30 (05:30)	Internazionale	0–3	Juventus	800	Stadio Felice Chinetti	Carlo Rinaldi	Match Report	
											
5	Sat	2019-11-02	12:30 (06:30)	Juventus	3–0	Hellas Verona	250	Juventus Training Center	Senthuran Limgamoorthy	Match Report	
5	Sat	2019-11-02	12:30 (06:30)	Orobica Calcio	0–2	Florentia	100	Stadio Giacinto Facchetti	Francesco D'Eusanio	Match Report	
5	Sat	2019-11-02	14:30 (08:30)	Tavagnacco	1–3	Empoli	150	Stadio Comunale di Tavagnacco	Matteo Frosi	Match Report	
5	Sat	2019-11-02	14:30 (08:30)	Fiorentina	1–1	Milan	350	Stadio Comunale Gino Bozzi	Giorgio Di Cicco	Match Report	
5	Sat	2019-11-02	14:30 (08:30)	Pink Bari	1–1	Internazionale	300	Stadio Antonio Antonacci	Gilberto Gregoris	Match Report	
5	Sun	2019-11-03	12:30 (05:30)	AS Roma	2–1	Sassuolo	300	Stadio Tre Fontane	Samuele Andreano	Match Report	
											
6	Sat	2019-11-16	12:30 (05:30)	Internazionale	2–0	Orobica Calcio	250	Stadio Felice Chinetti	Giacomo Casalini	Match Report	
6	Sat	2019-11-16	14:30 (07:30)	Sassuolo	2–0	Tavagnacco	150	Stadio Comunale Mirabello	Geremia De Capua	Match Report	
6	Sat	2019-11-16	14:30 (07:30)	Pink Bari	0–3	Fiorentina	250	Stadio Antonio Antonacci	Simone Pistarelli	Match Report	
6	Sat	2019-11-16	14:30 (07:30)	Hellas Verona	1–4	Empoli	150	Stadio AGSM Olivieri	Andrea Calzavara	Match Report	
6	Sun	2019-11-17	14:30 (07:30)	Florentia	2–1	AS Roma	200	Stadio Comunale Santa Lucia	Emanuele Bracaccini	Match Report	
