Wk 	Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2021-08-28	17:30 (10:30)	Empoli	0.9	0–3	1.3	AS Roma		Centro Sportivo Monteboro	Maria Sole Ferrieri Caputi	Match Report	
1	Sat	2021-08-28	20:30 (13:30)	Napoli	0.5	0–3	2.9	Internazionale		Stadio Caduti di Brema	Domenico Leone	Match Report	
1	Sat	2021-08-28	20:30 (13:30)	Juventus	3.7	3–0	0.2	ASD Calcio Pomigliano		Juventus Training Center	Stefano Nicolini	Match Report	
1	Sun	2021-08-29	17:30 (10:30)	Milan	4.3	4–0	0.3	Hellas Verona		Centro Sportivo Peppino Vismara	Adolfo Baratta	Match Report	
1	Sun	2021-08-29	17:30 (10:30)	Lazio	0.9	1–2	1.8	UC Sampdoria		Centro Sportivo di Formello - Campo Aqui...	Fabio Luongo	Match Report	
1	Sun	2021-08-29	20:30 (13:30)	Sassuolo	0.6	2–1	0.4	Fiorentina		Stadio Enzo Ricci	Carlo Rinaldi	Match Report	
													
2	Sat	2021-09-04	17:30 (10:30)	AS Roma	3.0	4–1	1.1	Napoli		Stadio Tre Fontane	Ermes Cavaliere	Match Report	
2	Sat	2021-09-04	17:30 (10:30)	UC Sampdoria	1.2	0–1	1.4	Milan		Stadio Riccardo Garrone	Niccolò Turrini	Match Report	
2	Sat	2021-09-04	17:30 (10:30)	Hellas Verona	0.3	0–4	2.7	Sassuolo		Sinergy Stadium	Valerio Maranesi	Match Report	
2	Sun	2021-09-05	17:30 (10:30)	Fiorentina	0.5	0–3	1.4	Juventus		Stadio Artemio Franchi	Michele Delrio	Match Report	
2	Sun	2021-09-05	17:30 (10:30)	ASD Calcio Pomigliano	0.6	2–2	1.8	Empoli		Stadio Ugo Gobbato	Samuele Andreano	Match Report	
2	Sun	2021-09-05	17:30 (10:30)	Internazionale	2.6	1–0	0.5	Lazio		Stadio Ernesto Breda	Maria Marotta	Match Report	
													
3	Sat	2021-09-11	14:30 (07:30)	Lazio	1.0	1–8	2.1	Milan		Centro Sportivo di Formello - Campo Mirk...	Luca Zucchetti	Match Report	
3	Sat	2021-09-11	17:30 (10:30)	Sassuolo	2.5	2–0	0.4	UC Sampdoria		Stadio Enzo Ricci	Matteo Canci	Match Report	
3	Sat	2021-09-11	17:30 (10:30)	ASD Calcio Pomigliano	0.1	1–2	2.7	AS Roma		Stadio Ugo Gobbato	Giorgio Vergaro	Match Report	
3	Sun	2021-09-12	17:30 (10:30)	Napoli	0.8	1–0	2.1	Fiorentina		Stadio Caduti di Brema	Dario Madonia	Match Report	
3	Sun	2021-09-12	17:30 (10:30)	Juventus	2.1	3–0	0.2	Hellas Verona		Juventus Training Center	Gioiele Iacobellis	Match Report	
