Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2017-04-15	12:00 (14:00)	Thorns	2–0	Pride	16,145	Providence Park	Danielle Chesky	Match Report	
Sat	2017-04-15	13:00 	Dash	2–0	Red Stars	4,484	BBVA Compass Stadium	Farhad Dadkho	Match Report	
Sat	2017-04-15	15:00 (14:00)	Spirit	0–1	Courage	2,400	Maureen Hendricks Field at Maryland Socc...	Katja Koroleva	Match Report	
Sun	2017-04-16	17:00 	Kansas City	2–0	Boston	3,340	Swope Soccer Village Main Field	Chris Spivey	Match Report	
Sat	2017-04-15	19:00 (21:00)	Reign	1–1	Sky Blue	3,521	Seattle High School Memorial Stadium	Karen Abt	Match Report	
Sat	2017-04-22	15:00 	Red Stars	1–0	Kansas City	2,153	Toyota Park	Greg Dopka	Match Report	
Sat	2017-04-22	16:00 (15:00)	Pride	1–1	Spirit	14,452	Orlando City Stadium	Karen Abt	Match Report	
Sat	2017-04-22	19:30 (18:30)	Courage	1–0	Thorns	6,298	WakeMed Soccer Park	Victor Rivas	Match Report	
Sun	2017-04-23	16:00 (15:00)	Boston	1–0	Sky Blue	2,329	Jordan Field	Elvis Osmanovic	Match Report	
Sat	2017-04-22	19:00 (21:00)	Reign	5–1	Dash	2,727	Seattle High School Memorial Stadium	Marco Vega	Match Report	
Sat	2017-04-29	13:00 (15:00)	Thorns	1–0	Red Stars	14,471	Providence Park	Ramy Touchan	Match Report	
Sat	2017-04-29	16:00 (15:00)	Courage	3–1	Pride	4,586	WakeMed Soccer Park	Farhad Dadkho	Match Report	
Sat	2017-04-29	19:00 (18:00)	Spirit	0–1	Dash	3,154	Maureen Hendricks Field at Maryland Socc...	Christina Unkel	Match Report	
Sat	2017-04-29	19:00 (18:00)	Boston	3–0	Reign	2,315	Jordan Field	Charles Murphy	Match Report	
Sun	2017-04-30	18:00 (17:00)	Sky Blue	1–0	Kansas City	2,562	The Soccer/Lacrosse Stadium at Yurcak Fi...	Kevin Broadley	Match Report	
Sat	2017-05-06	15:00 	Red Stars	2–0	Dash	2,114	Toyota Park	Katja Koroleva	Match Report	
Sat	2017-05-06	19:00 (18:00)	Spirit	4–3	Sky Blue	3,190	Maureen Hendricks Field at Maryland Socc...	Danielle Chesky	Match Report	
Sun	2017-05-07	17:00 	Kansas City	1–1	Pride	2,514	Swope Soccer Village Main Field	Marco Vega	Match Report	
Sun	2017-05-07	18:00 (17:00)	Boston	0–1	Courage	2,276	Jordan Field	Malik Badawi	Match Report	
Sat	2017-05-06	19:00 (21:00)	Thorns	2–2	Reign	16,160	Providence Park	Christina Unkel	Match Report	
Sat	2017-05-13	13:00 (15:00)	Reign	6–2	Spirit	3,007	Seattle High School Memorial Stadium	Victor Rivas	Match Report	
Sat	2017-05-13	15:00 	Dash	1–3	Sky Blue	5,369	BBVA Compass Stadium	Michael Radchuk	Match Report	
Sat	2017-05-13	15:00 	Kansas City	0–0	Thorns	1,796	Swope Soccer Village Main Field	Karen Abt	Match Report	
Sun	2017-05-14	17:00 (16:00)	Pride	3–1	Courage	5,260	Orlando City Stadium	Jon Freemon	Match Report	
