Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2019-04-13	19:00 (18:00)	Courage	1.1	1–1	1.7	Red Stars	4,053	Sahlen's Stadium at WakeMed Soccer Park	Elvis Osmanovic	Match Report	
Sat	2019-04-13	19:00 (18:00)	Spirit	1.5	2–0	1.0	Sky Blue	2,373	Maureen Hendricks Field Maryland SoccerP...	Natalie Simon	Match Report	
Sun	2019-04-14	17:00 (16:00)	Pride	1.5	0–2	3.0	Thorns	7,189	Orlando City Stadium	Katja Koroleva	Match Report	
Sun	2019-04-14	17:00 	Dash	2.4	1–1	1.4	Reign	4,335	BBVA Compass Stadium	Karen Abt	Match Report	
Wed	2019-04-17	19:00 (18:00)	Courage	2.6	5–0	0.4	Pride	4,292	Sahlen's Stadium at WakeMed Soccer Park	Robinson Khongsai	Match Report	
Sat	2019-04-20	14:30 	Red Stars	3.1	4–4	2.9	Thorns	12,967	SeatGeek Stadium	Karen Abt	Match Report	
Sat	2019-04-20	18:00 (17:00)	Sky Blue	1.2	0–1	2.4	Dash	1,394	The Soccer/Lacrosse Stadium at Yurcak Fi...	Robinson Khongsai	Match Report	
Sat	2019-04-20	19:00 (20:00)	Utah	1.1	1–0	0.6	Spirit	18,015	Rio Tinto Stadium	Katja Koroleva	Match Report	
Sun	2019-04-21	19:00 (21:00)	Reign	0.9	1–1	0.5	Pride	5,323	Cheney Stadium	Reyna Fonseca	Match Report	
Sat	2019-04-27	19:30 (18:30)	Pride	0.8	0–1	1.8	Utah	4,640	Orlando City Stadium	Jon Freemon	Match Report	
Sun	2019-04-28	12:00 	Red Stars	2.9	3–0	1.5	Reign	2,804	SeatGeek Stadium	Robinson Khongsai	Match Report	
Sun	2019-04-28	17:00 	Dash	0.9	1–4	3.0	Courage	2,933	BBVA Compass Stadium	Rosendo Mendoza	Match Report	
Sun	2019-04-28	18:00 (17:00)	Sky Blue	1.3	2–2	1.6	Thorns	1,321	The Soccer/Lacrosse Stadium at Yurcak Fi...	Reyna Fonseca	Match Report	
Sat	2019-05-04	19:00 (18:00)	Courage	1.9	0–0	0.9	Sky Blue	5,039	Sahlen's Stadium at WakeMed Soccer Park	Karen Abt	Match Report	
Sat	2019-05-04	19:00 (18:00)	Spirit	1.0	0–0	1.6	Reign	2,097	Maureen Hendricks Field Maryland SoccerP...	Jasmine Peralta	Match Report	
Fri	2019-05-03	19:30 (20:30)	Utah	0.8	1–0	0.8	Red Stars	16,556	Rio Tinto Stadium	Farhad Dadkho	Match Report	
Sun	2019-05-05	17:00 	Dash	1.3	1–0	0.6	Pride	4,173	BBVA Compass Stadium	Victor Rivas	Match Report	
Sat	2019-05-11	13:30 (14:30)	Utah	0.6	1–2	0.6	Dash	10,138	Rio Tinto Stadium	Natalie Simon	Match Report	
Sat	2019-05-11	15:00 (14:00)	Sky Blue	1.4	2–3	1.8	Spirit	1,330	The Soccer/Lacrosse Stadium at Yurcak Fi...	Tori Penso	Match Report	
Sat	2019-05-11	19:30 (18:30)	Pride	1.0	1–3	2.1	Thorns	4,369	Orlando City Stadium	Marie-Soleil Beaudoin	Match Report	
Sun	2019-05-12	17:00 	Red Stars	1.9	3–1	2.1	Courage	2,113	SeatGeek Stadium	Greg Dopka	Match Report	
