Wk 	Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2023-03-25	14:00 (13:00)	Courage	0.7	1–0	0.8	Current	4,948	Sahlen's Stadium at WakeMed Soccer Park	Alex Billeter	Match Report	
1	Sun	2023-03-26	14:00 (16:00)	Thorns	3.7	4–0	0.6	Pride	15,204	Providence Park	Eric Tattersall	Match Report	
1	Sun	2023-03-26	16:00 (15:00)	Spirit	0.7	1–0	2.2	Reign	11,281	Audi Field	Alyssa Nichols	Match Report	
1	Sun	2023-03-26	18:00 	Dash	1.3	0–0	1.2	Louisville	5,722	Shell Energy Stadium	Danielle Chesky	Match Report	
1	Sat	2023-03-25	19:00 (21:00)	Wave	2.1	3–2	2.5	Red Stars	30,854	Snapdragon Stadium	Elton Garcia	Match Report	
1	Sun	2023-03-26	21:00 (20:00)	Angel City	1.0	1–2	1.7	Gotham FC	22,000	BMO Field	Elijio Arreguin	Match Report	
													
2	Sat	2023-04-01	11:50 	Current	1.6	1–4	2.2	Thorns	11,301	Children's Mercy Park	Natalie Simon	Match Report	
2	Sat	2023-04-01	13:00 	Red Stars	1.2	1–2	2.6	Dash	4,065	SeatGeek Stadium	Karen Callado	Match Report	
2	Sat	2023-04-01	15:00 (14:00)	Louisville	0.8	2–2	2.1	Spirit	4,861	Lynn Family Stadium	Sergii Demianchuk	Match Report	
2	Sat	2023-04-01	19:30 (18:30)	Gotham FC	0.5	0–2	1.7	Reign	7,534	Red Bull Arena	Brad Jensen	Match Report	
2	Sun	2023-04-02	17:30 (16:30)	Pride	1.4	1–2	2.6	Angel City	7,137	Exploria Stadium	Danielle Chesky	Match Report	
2	Sat	2023-04-01	19:00 (21:00)	Wave	1.7	3–1	1.2	Courage	17,000	Snapdragon Stadium	John Griggs	Match Report	
													
3	Sat	2023-04-15	19:00 (18:00)	Courage	1.7	1–2	1.4	Spirit	5,160	Sahlen's Stadium at WakeMed Soccer Park	Adorae Monroy	Match Report	
3	Sat	2023-04-15	19:00 (18:00)	Pride	0.7	0–2	2.2	Gotham FC	5,258	Exploria Stadium	Elvis Osmanovic	Match Report	
3	Fri	2023-04-14	19:30 (21:30)	Thorns	2.7	1–1	1.4	Dash	15,657	Providence Park	Alex Billeter	Match Report	
