Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2022,26/02/2022,18:00,Philadelphia Union,Minnesota United,1,1,D,2,3.38,4.32,2.01,3.56,4.32,1.96,3.36,3.96
USA,MLS,2022,26/02/2022,20:30,Columbus Crew,Vancouver Whitecaps,4,0,H,1.59,4.07,6.44,1.67,4.35,6.51,1.57,4.02,5.79
USA,MLS,2022,26/02/2022,20:30,Los Angeles FC,Colorado Rapids,3,0,H,1.71,3.9,5.23,1.85,4.1,5.23,1.74,3.79,4.57
USA,MLS,2022,26/02/2022,22:30,FC Dallas,Toronto FC,1,1,D,1.98,3.86,3.77,2.18,3.88,4.2,1.97,3.63,3.63
USA,MLS,2022,26/02/2022,23:00,Austin FC,FC Cincinnati,5,0,H,1.66,4.25,5.22,1.72,4.25,5.5,1.66,3.91,4.95
USA,MLS,2022,26/02/2022,23:00,DC United,Charlotte,3,0,H,1.66,3.97,5.65,1.7,4,5.65,1.65,3.83,5.19
USA,MLS,2022,26/02/2022,23:00,Inter Miami,Chicago Fire,0,0,D,2.85,3.36,2.64,2.85,3.58,2.75,2.67,3.32,2.6
USA,MLS,2022,26/02/2022,23:00,San Jose Earthquakes,New York Red Bulls,1,3,A,2.61,3.25,2.97,2.7,3.36,2.97,2.6,3.16,2.79
USA,MLS,2022,27/02/2022,00:30,Portland Timbers,New England Revolution,2,2,D,2.38,3.67,2.85,2.5,3.76,3.1,2.38,3.56,2.78
USA,MLS,2022,27/02/2022,18:00,Orlando City,CF Montreal,2,0,H,2.01,3.47,4.09,2.03,3.64,4.1,1.97,3.43,3.83
USA,MLS,2022,27/02/2022,20:00,Atlanta Utd,Sporting Kansas City,3,1,H,2.07,3.5,3.83,2.16,3.7,3.93,2.06,3.43,3.54
USA,MLS,2022,27/02/2022,22:00,Los Angeles Galaxy,New York City,1,0,H,2.83,3.45,2.61,2.83,3.55,2.78,2.62,3.37,2.62
USA,MLS,2022,28/02/2022,00:00,Houston Dynamo,Real Salt Lake,0,0,D,1.63,4.15,5.72,1.67,4.15,6,1.63,3.83,5.42
USA,MLS,2022,28/02/2022,01:00,Seattle Sounders,Nashville SC,0,1,A,2.07,3.25,4.2,2.24,3.39,4.2,2.07,3.2,3.8
USA,MLS,2022,05/03/2022,18:30,New England Revolution,FC Dallas,1,0,H,1.61,4.37,5.58,1.61,4.6,6.18,1.55,4.42,5.35
USA,MLS,2022,05/03/2022,19:00,Toronto FC,New York Red Bulls,1,4,A,2.6,3.37,2.88,2.87,3.48,2.9,2.58,3.28,2.72
USA,MLS,2022,05/03/2022,20:30,Sporting Kansas City,Houston Dynamo,1,0,H,1.97,3.61,4.1,2,3.72,4.1,1.94,3.53,3.86
USA,MLS,2022,05/03/2022,21:00,CF Montreal,Philadelphia Union,1,2,A,2.45,3.43,3.06,2.58,3.44,3.15,2.44,3.19,2.96
