Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-24,14:30 (07:30),Bordeaux,4–1,Fleury,668,Stade Sainte-Germaine,Elodie Coppola,Match Report,
1,Sat,2019-08-24,14:30 (07:30),Guingamp,2–0,Metz,332,Stade Centre Formation EAG 1,Stéphanie Di Benedetto,Match Report,
1,Sat,2019-08-24,14:30 (07:30),Paris FC,3–1,Dijon,253,Stade Robert Bobin,Savina Elbour,Match Report,
1,Sat,2019-08-24,14:30 (07:30),Montpellier,2–0,Stade de Reims,299,Stade Bernard Gasset Terrain n°7,Maika Vanderstichel ,Match Report,
1,Sat,2019-08-24,15:30 (08:30),Lyon,6–0,Ol. Marseille,"1,673",Groupama OL Academy Décines-Charpieu ,Corentin Beyer,Match Report,
1,Sun,2019-08-25,14:45 (07:45),Paris S-G,7–0,Soyaux,"1,610",Stade Jean-Bouin,Camille Soriano,Match Report,
,,,,,,,,,,,
2,Sat,2019-09-07,14:30 (07:30),Fleury,1–3,Montpellier,441,Stade Auguste Gentelet,Victoria Beyer,Match Report,
2,Sat,2019-09-07,14:30 (07:30),Ol. Marseille,2–1,Guingamp,213,Stade Paul Le Cesne,Solenne Bartnik,Match Report,
2,Sat,2019-09-07,14:30 (07:30),Soyaux,0–0,Paris FC,479,Stade Lebon 1,Elodie Coppola,Match Report,
2,Sat,2019-09-07,16:30 (09:30),Stade de Reims,3–8,Lyon,"3,147",Stade Auguste-Delaune II,Camille Soriano,Match Report,
2,Sat,2019-09-07,16:30 (09:30),Metz,1–6,Paris S-G,"1,913",Stade Saint-Symphorien,Savina Elbour,Match Report,
2,Sun,2019-09-08,14:45 (07:45),Dijon,0–3,Bordeaux,942,Stade des Poussots 1,Jennifer Maubacq,Match Report,
,,,,,,,,,,,
3,Sat,2019-09-14,14:30 (07:30),Bordeaux,1–0,Montpellier,847,Stade Sainte-Germaine,Camille Soriano,Match Report,
3,Sat,2019-09-14,14:30 (07:30),Ol. Marseille,0–3,Stade de Reims,256,Stade Paul Le Cesne,Savina Elbour,Match Report,
3,Sat,2019-09-14,14:30 (07:30),Guingamp,1–3,Soyaux,366,Stade Centre Formation EAG 1,Maika Vanderstichel ,Match Report,
3,Sat,2019-09-14,20:30 (13:30),Paris FC,2–2,Metz,911,Stade Sébastien Charléty,Solenne Bartnik,Match Report,
3,Sun,2019-09-15,16:30 (09:30),Lyon,6–0,Fleury,"1,152",Groupama OL Academy Décines-Charpieu ,Jennifer Maubacq,Match Report,
3,Sun,2019-09-15,16:30 (09:30),Paris S-G,4–0,Dijon,770,Stade Jean-Bouin,Elodie Coppola,Match Report,
,,,,,,,,,,,
4,Sat,2019-09-28,14:30 (07:30),Stade de Reims,0–1,Fleury,240,Stade Louis Blériot N°1,Elodie Coppola,Match Report,
4,Sat,2019-09-28,14:30 (07:30),Montpellier,6–0,Dijon,292,Stade Bernard Gasset Terrain n°7,Savina Elbour,Match Report,
4,Sat,2019-09-28,14:30 (07:30),Paris FC,3–1,Ol. Marseille,436,Stade Robert Bobin,Maika Vanderstichel ,Match Report,
4,Sat,2019-09-28,14:30 (07:30),Metz,0–2,Soyaux,223,Stade Dezavelle,Camille Soriano,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sat,2019-09-28,20:40 (13:40),Guingamp,1–5,Lyon,"3,166",Stade du Roudourou,Stéphanie Di Benedetto,Match Report,
4,Sun,2019-09-29,14:45 (07:45),Paris S-G,3–0,Bordeaux,600,Stade Jean-Bouin,Victoria Beyer,Match Report,
,,,,,,,,,,,
5,Sat,2019-10-12,14:30 (07:30),Lyon,4–0,Paris FC,"1,306",Groupama OL Academy Décines-Charpieu ,Elodie Coppola,Match Report,
5,Sat,2019-10-12,14:30 (07:30),Fleury,0–2,Paris S-G,589,Stade Auguste Gentelet,Solenne Bartnik,Match Report,
5,Sat,2019-10-12,14:30 (07:30),Dijon,1–1,Stade de Reims,741,Stade des Poussots 1,Maika Vanderstichel ,Match Report,
5,Sat,2019-10-12,14:30 (07:30),Ol. Marseille,3–1,Metz,335,Stade Paul Le Cesne,Savina Elbour,Match Report,
5,Sat,2019-10-12,14:30 (07:30),Soyaux,1–1,Montpellier,423,Stade Lebon 1,Stéphanie Di Benedetto,Match Report,
5,Sun,2019-10-13,14:45 (07:45),Bordeaux,1–2,Guingamp,751,Stade Sainte-Germaine,Camille Soriano,Match Report,
,,,,,,,,,,,
6,Sat,2019-10-19,14:30 (07:30),Stade de Reims,0–1,Guingamp,176,Stade Louis Blériot N°1,Solenne Bartnik,Match Report,
6,Sat,2019-10-19,14:30 (07:30),Fleury,1–1,Soyaux,215,Stade Auguste Gentelet,Jennifer Maubacq,Match Report,
6,Sat,2019-10-19,14:30 (07:30),Bordeaux,3–0,Ol. Marseille,"1,394",Stade Sainte-Germaine,Elodie Coppola,Match Report,
6,Sat,2019-10-19,14:30 (07:30),Montpellier,3–0,Metz,354,Stade Bernard Gasset Terrain n°7,Maika Vanderstichel ,Match Report,
6,Sat,2019-10-19,20:45 (13:45),Paris S-G,2–0,Paris FC,"1,624",Stade Jean-Bouin,Savina Elbour,Match Report,
6,Sun,2019-10-20,14:45 (07:45),Dijon,0–0,Lyon,"5,064",Stade Gaston Gérard,Camille Soriano,Match Report,
,,,,,,,,,,,
7,Sat,2019-10-26,14:30 (07:30),Metz,0–1,Stade de Reims,194,Stade Dezavelle,Gabrielle Guillot,Match Report,
7,Sat,2019-10-26,14:30 (07:30),Paris FC,2–5,Montpellier,879,Stade Robert Bobin,Camille Soriano,Match Report,
7,Sat,2019-10-26,14:30 (07:30),Guingamp,0–1,Fleury,400,Stade Centre Formation EAG 1,Savina Elbour,Match Report,
7,Sat,2019-10-26,14:30 (07:30),Soyaux,0–0,Dijon,469,Stade Lebon 1,Solenne Bartnik,Match Report,
7,Sat,2019-10-26,15:30 (08:30),Lyon,4–0,Bordeaux,"1,369",Groupama OL Academy Décines-Charpieu ,Jennifer Maubacq,Match Report,
