Wk,Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-09-09,21:00 (14:00),Paris S-G,2.8,2–0,0.3,Soyaux,411,Stade Municipal Georges Lefèvre,Maika Vanderstichel,Match Report,
1,Sat,2022-09-10,14:30 (07:30),Bordeaux,2.0,4–2,0.7,Le Havre,835,Stade Sainte-Germaine,Charlène Laur,Match Report,
1,Sat,2022-09-10,14:30 (07:30),Guingamp,0.5,0–3,2.5,Fleury,236,Stade Centre Formation EAG 1,Clémence Goncalves,Match Report,
1,Sat,2022-09-10,14:30 (07:30),Paris FC,1.3,2–0,0.3,Rodez,209,Stade Sébastien Charléty,Aurélie Efe,Match Report,
1,Sat,2022-09-10,14:30 (07:30),Montpellier,2.3,3–0,1.2,Dijon,236,Stade Bernard Gasset Terrain n°7,Audrey Gerbel,Match Report,
1,Sun,2022-09-11,12:45 (05:45),Stade de Reims,0.7,1–5,3.6,Lyon,"1,311",Stade Auguste-Delaune,Silham Benmahammed,Match Report,
,,,,,,,,,,,,,
2,Fri,2022-09-16,18:30 (11:30),Fleury,1.2,1–1,0.9,Paris FC,626,Stade Auguste Gentelet,Maika Vanderstichel,Match Report,
2,Sat,2022-09-17,14:30 (07:30),Dijon,0.2,1–1,1.0,Bordeaux,342,Stade Gaston Gérard,Savina Elbour,Match Report,
2,Sat,2022-09-17,14:30 (07:30),Stade de Reims,0.1,1–3,2.9,Montpellier,195,Stade Louis Blériot N°2 ,Victoria Beyer,Match Report,
2,Sat,2022-09-17,14:30 (07:30),Rodez,0.2,0–4,3.1,Paris S-G,"1,212",Stade Paul Lignon,Alexandra Collin,Match Report,
2,Sun,2022-09-18,12:45 (05:45),Le Havre,1.7,1–0,0.6,Guingamp,431,Stade Océane,Émeline Rochebilière,Match Report,
2,Sun,2022-09-18,15:00 (08:00),Lyon,3.2,2–1,0.1,Soyaux,889,Stade Gérard Houillier 1,Romy Fournier,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-09-23,18:30 (11:30),Paris FC,2.6,1–0,0.4,Le Havre,201,Stade Sébastien Charléty,Clémence Goncalves,Match Report,
3,Fri,2022-09-23,21:00 (14:00),Montpellier,1.2,1–3,2.1,Lyon,775,Stade Bernard Gasset Terrain n°7,Alexandra Collin,Match Report,
3,Sat,2022-09-24,14:30 (07:30),Soyaux,1.5,2–0,1.0,Rodez,334,Stade Léo Lagrange,Silham Benmahammed,Match Report,
3,Sat,2022-09-24,14:30 (07:30),Guingamp,1.3,0–1,1.3,Dijon,512,Stade du Roudourou,Charlène Laur,Match Report,
3,Sat,2022-09-24,14:30 (07:30),Bordeaux,0.7,0–1,1.0,Stade de Reims,886,Stade Sainte-Germaine,Aurélie Efe,Match Report,
3,Sun,2022-09-25,12:45 (05:45),Paris S-G,1.7,2–1,0.4,Fleury,436,Stade Municipal Georges Lefèvre,Audrey Gerbel,Match Report,
,,,,,,,,,,,,,
4,Fri,2022-09-30,21:00 (14:00),Montpellier,0.8,0–0,0.4,Bordeaux,395,Stade Bernard Gasset Terrain n°7,Silham Benmahammed,Match Report,
4,Sat,2022-10-01,14:30 (07:30),Fleury,1.2,1–1,0.4,Soyaux,221,Stade Auguste Gentelet N°2,Savina Elbour,Match Report,
4,Sat,2022-10-01,14:30 (07:30),Stade de Reims,1.1,3–0,0.7,Guingamp,159,Stade Louis Blériot N°2 ,Audrey Gerbel,Match Report,
4,Sat,2022-10-01,14:30 (07:30),Dijon,0.4,0–2,1.8,Paris FC,216,Complexe Sportif DFCO,Romy Fournier,Match Report,
Wk ,Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sat,2022-10-01,14:30 (07:30),Lyon,1.6,2–0,0.1,Rodez,810,Groupama Stadium,Victoria Beyer,Match Report,
4,Sun,2022-10-02,12:45 (05:45),Le Havre,0.3,2–2,1.9,Paris S-G,"1,400",Stade Océane,Aurélie Efe,Match Report,
,,,,,,,,,,,,,
5,Fri,2022-10-14,18:30 (11:30),Paris FC,1.9,2–2,0.5,Stade de Reims,322,Stade Sébastien Charléty,Savina Elbour,Match Report,
5,Sat,2022-10-15,14:30 (07:30),Guingamp,1.4,1–4,2.7,Montpellier,305,Stade Centre Formation EAG 1,Alexandra Collin,Match Report,
5,Sat,2022-10-15,14:30 (07:30),Paris S-G,2.4,3–1,0.2,Dijon,606,Stade Municipal Georges Lefèvre,Victoria Beyer,Match Report,
5,Sat,2022-10-15,14:30 (07:30),Soyaux,0.7,1–4,2.5,Le Havre,382,Stade Léo Lagrange,Charlène Laur,Match Report,
5,Sun,2022-10-16,12:45 (05:45),Bordeaux,0.6,1–3,2.0,Lyon,"1,259",Stade Sainte-Germaine,Clémence Goncalves,Match Report,
5,Sun,2022-10-16,12:45 (05:45),Rodez,1.0,2–1,0.3,Fleury,308,Stade Paul Lignon,Aurélie Efe,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-10-28,21:00 (14:00),Montpellier,1.1,1–3,1.5,Paris FC,728,Stade Bernard Gasset Terrain n°7,Victoria Beyer,Match Report,
6,Sat,2022-10-29,14:30 (07:30),Le Havre,2.1,2–1,1.5,Rodez,"1,246",Stade Océane,Audrey Gerbel,Match Report,
6,Sat,2022-10-29,14:30 (07:30),Dijon,2.2,1–0,0.5,Soyaux,301,Stade des Poussots 1,Aurélie Efe,Match Report,
6,Sat,2022-10-29,14:30 (07:30),Stade de Reims,0.5,0–2,2.1,Paris S-G,"1,019",Stade Auguste-Delaune,Charlène Laur,Match Report,
6,Sat,2022-10-29,14:30 (07:30),Bordeaux,2.1,3–1,1.4,Guingamp,774,Stade Alain-Roche,Silham Benmahammed,Match Report,
6,Sun,2022-10-30,12:45 (06:45),Lyon,1.8,1–0,0.1,Fleury,"1,480",Stade Gérard Houillier 1,Émeline Rochebilière,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-11-04,18:30 (12:30),Rodez,2.3,1–1,0.9,Dijon,323,Stade Paul Lignon,Maika Vanderstichel,Match Report,
7,Fri,2022-11-04,21:00 (15:00),Paris FC,1.2,1–1,0.7,Bordeaux,907,Stade Sébastien Charléty,Alexandra Collin,Match Report,
7,Sat,2022-11-05,13:30 (07:30),Paris S-G,2.0,2–2,0.3,Montpellier,684,Stade Municipal Georges Lefèvre,Émeline Rochebilière,Match Report,
7,Sat,2022-11-05,14:30 (08:30),Fleury,2.8,3–0,0.6,Le Havre,601,Stade Auguste Gentelet N°2,Clémence Goncalves,Match Report,
7,Sat,2022-11-05,14:30 (08:30),Soyaux,0.8,1–4,2.3,Stade de Reims,468,Stade Léo Lagrange,Silham Benmahammed,Match Report,
7,Sat,2022-11-05,14:30 (08:30),Guingamp,0.3,0–0,1.6,Lyon,871,Stade Centre Formation EAG 1,Aurélie Efe,Match Report,
,,,,,,,,,,,,,
8,Sat,2022-11-19,14:30 (07:30),Montpellier,1.7,2–2,1.4,Soyaux,325,Stade Bernard Gasset Terrain n°7,Maika Vanderstichel,Match Report,
Wk ,Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
8,Sat,2022-11-19,14:30 (07:30),Guingamp,0.6,0–3,1.9,Paris FC,637,Stade Fred Aubert,Émeline Rochebilière,Match Report,
8,Sat,2022-11-19,14:30 (07:30),Dijon,0.9,1–5,2.9,Fleury,252,Complexe Sportif DFCO,Charlène Laur,Match Report,
8,Sat,2022-11-19,14:30 (07:30),Stade de Reims,0.4,0–0,0.2,Rodez,138,Stade Louis Blériot N°2 ,Victoria Beyer,Match Report,
8,Sun,2022-11-20,14:00 (07:00),Bordeaux,0.6,0–3,1.2,Paris S-G,"1,346",Stade Sainte-Germaine,Clémence Goncalves,Match Report,
8,Sun,2022-11-20,16:00 (09:00),Lyon,2.0,1–0,0.2,Le Havre,"1,512",Stade Gérard Houillier 1,Audrey Gerbel,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-11-25,21:00 (14:00),Fleury,0.6,1–0,0.3,Stade de Reims,591,Stade Robert Bobin,Elisa Daupeux,Match Report,
9,Sat,2022-11-26,14:30 (07:30),Montpellier,1.6,2–1,2.0,Rodez,332,Stade Bernard Gasset Terrain n°7,Silham Benmahammed,Match Report,
9,Sat,2022-11-26,14:30 (07:30),Paris S-G,0.7,1–0,0.5,Guingamp,556,Stade Municipal Georges Lefèvre,Alexandra Collin,Match Report,
9,Sat,2022-11-26,14:30 (07:30),Soyaux,0.3,0–1,1.4,Bordeaux,402,Stade Léo Lagrange,Aurélie Efe,Match Report,
9,Sat,2022-11-26,14:30 (07:30),Le Havre,2.6,5–0,0.3,Dijon,500,Stade Océane,Victoria Beyer,Match Report,
9,Sun,2022-11-27,16:00 (09:00),Paris FC,1.3,2–3,2.9,Lyon,"2,957",Stade Sébastien Charléty,Savina Elbour,Match Report,
,,,,,,,,,,,,,
10,Fri,2022-12-02,18:00 (11:00),Montpellier,1.1,1–1,1.5,Fleury,183,Stade Bernard Gasset Terrain n°7,Émeline Rochebilière,Match Report,
10,Sat,2022-12-03,14:30 (07:30),Stade de Reims,2.0,3–1,0.6,Le Havre,186,Stade Louis Blériot N°2 ,Maika Vanderstichel,Match Report,
10,Sat,2022-12-03,14:30 (07:30),Bordeaux,2.9,3–1,0.4,Rodez,690,Stade Sainte-Germaine,Alexandra Collin,Match Report,
10,Sat,2022-12-03,14:30 (07:30),Guingamp,2.6,3–1,1.1,Soyaux,522,Stade Centre Formation EAG 1,Charlène Laur,Match Report,
10,Sat,2022-12-03,14:30 (07:30),Lyon,2.7,8–0,0.2,Dijon,403,Stade Gérard Houillier 1,Clémence Goncalves,Match Report,
10,Sun,2022-12-04,13:00 (06:00),Paris FC,0.4,0–1,0.8,Paris S-G,"3,293",Stade Sébastien Charléty,Audrey Gerbel,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-12-09,18:00 (11:00),Fleury,2.1,2–0,0.3,Bordeaux,254,Stade Auguste Gentelet,Victoria Beyer,Match Report,
11,Sat,2022-12-10,14:30 (07:30),Dijon,0.7,0–4,3.3,Stade de Reims,363,Complexe Sportif DFCO,Aurélie Efe,Match Report,
