Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2018-09-15,13:00 (06:00),MSV Duisburg,0–4,Essen,712,PCC-Stadion,Laura Duske,Match Report,
1,Sun,2018-09-16,11:00 (04:00),M'gladbach,0–3,Werder Bremen,205,Grenzlandstadion,Fabienne Michel,Match Report,
1,Sun,2018-09-16,11:00 (04:00),Hoffenheim,1–0,Turbine Potsdam,880,Dietmar-Hopp-Stadion,Riem Hussein,Match Report,
1,Sun,2018-09-16,14:00 (07:00),Wolfsburg,3–0,FFC Frankfurt,"1,886",AOK Stadion,Angelika Söder,Match Report,
1,Sun,2018-09-16,14:00 (07:00),Sand,0–0,Freiburg,"1,278",Orsay Stadion,Ines Appelmann,Match Report,
1,Sun,2018-09-16,16:00 (09:00),Leverkusen, 1–10,Bayern Munich,726,Jugendleistungszentrum Kurtekotten,Kathrin Heimann,Match Report,
,,,,,,,,,,,
2,Sun,2018-09-23,11:00 (04:00),FFC Frankfurt,1–4,Hoffenheim,960,Stadion am Brentanobad,Ines Appelmann,Match Report,
2,Sun,2018-09-23,13:00 (06:00),Bayern Munich,4–0,MSV Duisburg,518,Städtisches Stadion an der Grünwalder St...,Mirka Derlin,Match Report,
2,Sun,2018-09-23,14:00 (07:00),Werder Bremen,0–1,Leverkusen,267,Weserstadion Platz 11,Franziska Wildfeuer,Match Report,
2,Sun,2018-09-23,14:00 (07:00),Freiburg,4–0,M'gladbach,"1,221",Möslestadion,Melissa Joos,Match Report,
2,Sun,2018-09-23,14:00 (07:00),Turbine Potsdam,2–0,Sand,"1,202",Karl-Liebknecht-Stadion,Marina Wozniak,Match Report,
2,Sun,2018-09-23,15:00 (08:00),Essen,0–5,Wolfsburg,"1,260",Stadion Essen,Sandra Stolz,Match Report,
,,,,,,,,,,,
3,Sat,2018-09-29,14:00 (07:00),Turbine Potsdam,3–1,FFC Frankfurt,"1,437",Karl-Liebknecht-Stadion,Kathrin Heimann,Match Report,
3,Sun,2018-09-30,11:00 (04:00),Hoffenheim,1–2,Essen,830,Dietmar-Hopp-Stadion,Christine Weigelt ,Match Report,
3,Sun,2018-09-30,14:00 (07:00),Sand,5–0,M'gladbach,517,Orsay Stadion,Karoline Wacker,Match Report,
3,Sun,2018-09-30,14:00 (07:00),MSV Duisburg,3–0,Werder Bremen,484,PCC-Stadion,Sandra Stolz,Match Report,
3,Sun,2018-09-30,14:00 (07:00),Wolfsburg,6–0,Bayern Munich,"2,579",AOK Stadion,Susann Kunkel,Match Report,
3,Sun,2018-09-30,14:00 (07:00),Leverkusen,0–3,Freiburg,350,Jugendleistungszentrum Kurtekotten,Nadine Westerhoff,Match Report,
,,,,,,,,,,,
4,Sat,2018-10-13,13:00 (06:00),Bayern Munich,2–1,Hoffenheim,452,Städtisches Stadion an der Grünwalder St...,Karoline Wacker,Match Report,
4,Sun,2018-10-14,11:00 (04:00),FFC Frankfurt,1–0,Sand,"1,360",Stadion am Brentanobad,Anna-Lena Heidenreich,Match Report,
4,Sun,2018-10-14,11:00 (04:00),M'gladbach,4–4,Leverkusen,200,Grenzlandstadion,Miriam Schweinefuss,Match Report,
4,Sun,2018-10-14,14:00 (07:00),Freiburg,0–2,MSV Duisburg,"1,052",Möslestadion,Angelika Söder,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sun,2018-10-14,14:00 (07:00),Werder Bremen,0–3,Wolfsburg,771,Weserstadion Platz 11,Mirka Derlin,Match Report,
4,Sun,2018-10-14,14:00 (07:00),Essen,3–2,Turbine Potsdam,"1,187",Stadion Essen,Sina Diekmann,Match Report,
,,,,,,,,,,,
5,Sun,2018-10-21,11:00 (04:00),FFC Frankfurt,1–1,Essen,"1,310",Stadion am Brentanobad,Franziska Wildfeuer,Match Report,
5,Sun,2018-10-21,11:00 (04:00),Hoffenheim,4–0,Werder Bremen,450,Dietmar-Hopp-Stadion,Kathrin Heimann,Match Report,
5,Sun,2018-10-21,13:00 (06:00),Wolfsburg,3–0,Freiburg,"1,565",AOK Stadion,Karoline Wacker,Match Report,
5,Sun,2018-10-21,14:00 (07:00),Sand,3–0,Leverkusen,465,Orsay Stadion,Sina Diekmann,Match Report,
5,Sun,2018-10-21,14:00 (07:00),MSV Duisburg,3–1,M'gladbach,704,PCC-Stadion,Anna-Lena Heidenreich,Match Report,
5,Sun,2018-10-21,15:00 (08:00),Turbine Potsdam,1–1,Bayern Munich,"2,058",Karl-Liebknecht-Stadion,Fabienne Michel,Match Report,
,,,,,,,,,,,
6,Wed,2018-10-24,15:00 (08:00),Freiburg,3–2,Hoffenheim,411,Möslestadion,Fabienne Michel,Match Report,
6,Wed,2018-10-24,18:15 (11:15),Bayern Munich,3–1,FFC Frankfurt,325,FC Bayern Campus Platz 1,Christine Weigelt ,Match Report,
6,Wed,2018-10-24,19:00 (12:00),Essen,1–0,Sand,538,Stadion Essen,Laura Duske,Match Report,
6,Wed,2018-10-24,19:00 (12:00),Werder Bremen,0–4,Turbine Potsdam,299,Weserstadion Platz 11,Nadine Westerhoff,Match Report,
6,Wed,2018-10-24,19:00 (12:00),M'gladbach,0–7,Wolfsburg,340,Grenzlandstadion,Marina Wozniak,Match Report,
6,Wed,2018-10-24,19:30 (12:30),Leverkusen,4–1,MSV Duisburg,256,Jugendleistungszentrum Kurtekotten,Katrin Rafalski,Match Report,
,,,,,,,,,,,
7,Sat,2018-10-27,13:00 (06:00),Wolfsburg,7–0,Leverkusen,"1,428",AOK Stadion,Kathrin Heimann,Match Report,
7,Sun,2018-10-28,11:00 (05:00),Hoffenheim,4–1,M'gladbach,350,Dietmar-Hopp-Stadion,Laura Duske,Match Report,
7,Sun,2018-10-28,11:00 (05:00),Sand,1–0,MSV Duisburg,328,Orsay Stadion,Nadine Westerhoff,Match Report,
7,Sun,2018-10-28,11:00 (05:00),FFC Frankfurt,2–1,Werder Bremen,"1,030",Stadion am Brentanobad,Sina Diekmann,Match Report,
7,Sun,2018-10-28,14:00 (08:00),Turbine Potsdam,2–0,Freiburg,"1,316",Karl-Liebknecht-Stadion,Marina Wozniak,Match Report,
7,Sun,2018-10-28,14:00 (08:00),Essen,0–2,Bayern Munich,"1,813",Stadion Essen,Sandra Stolz,Match Report,
,,,,,,,,,,,
8,Sat,2018-11-03,12:30 (06:30),Leverkusen,0–3,Hoffenheim,521,Jugendleistungszentrum Kurtekotten,Anna-Lena Heidenreich,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
8,Sun,2018-11-04,11:00 (04:00),M'gladbach,0–7,Turbine Potsdam,320,Grenzlandstadion,Mirka Derlin,Match Report,
8,Sun,2018-11-04,14:00 (07:00),MSV Duisburg,1–2,Wolfsburg,572,PCC-Stadion,Christine Weigelt ,Match Report,
8,Sun,2018-11-04,14:00 (07:00),Werder Bremen,1–1,Essen,243,Weserstadion Platz 11,Angelika Söder,Match Report,
8,Sun,2018-11-04,14:00 (07:00),Freiburg,3–4,FFC Frankfurt,"1,231",Möslestadion,Miriam Schweinefuss,Match Report,
8,Sun,2018-11-04,15:00 (08:00),Bayern Munich,1–1,Sand,424,Städtisches Stadion an der Grünwalder St...,Franziska Wildfeuer,Match Report,
,,,,,,,,,,,
9,Sat,2018-11-24,14:00 (07:00),Essen,2–2,Freiburg,418,Stadion Essen,Ines Appelmann,Match Report,
9,Sat,2018-11-24,14:00 (07:00),FFC Frankfurt,8–0,M'gladbach,840,Stadion am Brentanobad,Angelika Söder,Match Report,
9,Sun,2018-11-25,13:00 (06:00),Hoffenheim,3–3,MSV Duisburg,520,Dietmar-Hopp-Stadion,Katrin Rafalski,Match Report,
9,Sun,2018-11-25,14:00 (07:00),Turbine Potsdam,3–0,Leverkusen,"1,226",Karl-Liebknecht-Stadion,Franziska Wildfeuer,Match Report,
9,Sun,2018-11-25,14:00 (07:00),Sand,0–9,Wolfsburg,"1,025",Orsay Stadion,Fabienne Michel,Match Report,
9,Sun,2018-11-25,14:00 (07:00),Bayern Munich,4–1,Werder Bremen,324,Städtisches Stadion an der Grünwalder St...,Laura Duske,Match Report,
,,,,,,,,,,,
10,Sun,2018-12-02,11:00 (04:00),Sand,2–0,Werder Bremen,217,Orsay Stadion,Christine Weigelt ,Match Report,
10,Sun,2018-12-02,11:00 (04:00),M'gladbach,0–6,Essen,210,Grenzlandstadion,Miriam Schweinefuss,Match Report,
10,Sun,2018-12-02,13:00 (06:00),Freiburg,1–2,Bayern Munich,"1,531",Möslestadion,Nadine Westerhoff,Match Report,
10,Sun,2018-12-02,14:00 (07:00),MSV Duisburg,1–8,Turbine Potsdam,278,PCC-Stadion,Sina Diekmann,Match Report,
10,Sun,2018-12-02,14:00 (07:00),Leverkusen,0–3,FFC Frankfurt,212,Ulrich-Haberland-Stadion,Marina Wozniak,Match Report,
10,Sun,2018-12-02,15:00 (08:00),Wolfsburg,3–1,Hoffenheim,"1,334",AOK Stadion,Sandra Stolz,Match Report,
,,,,,,,,,,,
11,Wed,2018-12-05,11:00 (04:00),Werder Bremen,0–3,Freiburg,279,Weserstadion Platz 11,Riem Hussein,Match Report,
11,Wed,2018-12-05,18:30 (11:30),FFC Frankfurt,0–0,MSV Duisburg,730,Stadion am Brentanobad,Kathrin Heimann,Match Report,
11,Wed,2018-12-05,18:30 (11:30),Bayern Munich,9–0,M'gladbach,265,Städtisches Stadion an der Grünwalder St...,Melissa Joos,Match Report,
11,Wed,2018-12-05,18:30 (11:30),Hoffenheim,4–0,Sand,220,Dietmar-Hopp-Stadion,Karoline Wacker,Match Report,
11,Wed,2018-12-05,19:00 (12:00),Turbine Potsdam,1–1,Wolfsburg,"1,487",Karl-Liebknecht-Stadion,Susann Kunkel,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
11,Wed,2018-12-05,19:30 (12:30),Essen,5–0,Leverkusen,417,Stadion Essen,Katrin Rafalski,Match Report,
,,,,,,,,,,,
12,Sun,2018-12-09,11:00 (04:00),FFC Frankfurt,2–6,Wolfsburg,"1,280",Stadion am Brentanobad,Karoline Wacker,Match Report,
12,Sun,2018-12-09,11:00 (04:00),Werder Bremen,5–0,M'gladbach,290,Weserstadion Platz 11,Susann Kunkel,Match Report,
12,Sun,2018-12-09,14:00 (07:00),Turbine Potsdam,1–1,Hoffenheim,982,Karl-Liebknecht-Stadion,Mirka Derlin,Match Report,
12,Sun,2018-12-09,14:00 (07:00),Bayern Munich,8–0,Leverkusen,293,Städtisches Stadion an der Grünwalder St...,Christine Weigelt ,Match Report,
12,Sun,2018-12-09,14:00 (07:00),Essen,6–0,MSV Duisburg,815,Stadion Essen,Anna-Lena Heidenreich,Match Report,
12,Sun,2018-12-09,14:00 (07:00),Freiburg,2–2,Sand,932,Möslestadion,Sandra Stolz,Match Report,
,,,,,,,,,,,
13,Sun,2018-12-16,11:00 (04:00),M'gladbach,0–2,Freiburg,150,Grenzlandstadion,Sina Diekmann,Match Report,
13,Sun,2018-12-16,14:00 (07:00),MSV Duisburg,0–4,Bayern Munich,404,PCC-Stadion,Susann Kunkel,Match Report,
13,Sun,2018-12-16,14:00 (07:00),Wolfsburg,0–0,Essen,"1,428",AOK Stadion,Marina Wozniak,Match Report,
13,Sun,2018-12-16,14:00 (07:00),Leverkusen,1–0,Werder Bremen,185,Jugendleistungszentrum Kurtekotten,Angelika Söder,Match Report,
13,Sun,2019-02-10,14:00 (07:00),Sand,2–3,Turbine Potsdam,268,Orsay Stadion,Melissa Joos,Match Report,
13,Sun,2019-02-10,14:00 (07:00),Hoffenheim,0–1,FFC Frankfurt,580,Dietmar-Hopp-Stadion,Karoline Wacker,Match Report,
,,,,,,,,,,,
14,Sun,2019-02-17,11:00 (04:00),M'gladbach,1–4,Sand,165,Grenzlandstadion,Anna-Lena Heidenreich,Match Report,
14,Sun,2019-02-17,13:00 (06:00),FFC Frankfurt,3–3,Turbine Potsdam,"1,780",Stadion am Brentanobad,Laura Duske,Match Report,
