Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2018-09-21,15:00 (08:00),Fiorentina,6–1,Atalanta,300,Stadio Comunale Gino Bozzi,Andrea Bianchini,Match Report,
1,Sat,2018-09-22,15:00 (08:00),Tavagnacco,1–0,Orobica Calcio,200,Stadio Comunale di Tavagnacco,Stefano Campagnolo,Match Report,
1,Sat,2018-09-22,15:00 (08:00),AGSM Verona,2–2,Florentia,250,Stadio AGSM Olivieri,Francesco Croce,Match Report,
1,Sat,2018-09-22,15:00 (08:00),Sassuolo,3–2,AS Roma,300,Campo Comunale San Polo D’enza,Marco Emmanuele,Match Report,
1,Sat,2018-09-22,15:00 (08:00),Pink Bari,0–6,AC Milan,300,Stadio Antonio Antonacci,Davide Di Marco,Match Report,
1,Sun,2018-09-23,12:30 (05:30),Juventus,6–0,ChievoVerona,400,Juventus Training Center,Mattia Caldera,Match Report,
,,,,,,,,,,,
2,Sat,2018-09-29,15:00 (08:00),Florentia,0–3,Juventus,400,Stadio Goffredo Del Buffa,Andrea Ancora,Match Report,
2,Sat,2018-09-29,15:00 (08:00),Atalanta,0–2,Sassuolo,200,Stadio Comunale,Marco Cecchin,Match Report,
2,Sun,2018-09-30,12:30 (05:30),AC Milan,3–2,Fiorentina,300,Centro Sportivo Peppino Vismara,Stefano Campagnolo,Match Report,
,,,,,,,,,,,
3,Sun,2018-10-14,12:30 (05:30),Sassuolo,2–2,AC Milan,300,Stadio Comunale Ezio Ricci,Simone Picchi,Match Report,
3,Sun,2018-10-14,15:00 (08:00),Tavagnacco,0–2,Atalanta,200,Stadio Comunale di Tavagnacco,Dario Duzel,Match Report,
3,Sun,2018-10-14,15:00 (08:00),AGSM Verona,1–0,AS Roma,250,Stadio AGSM Olivieri,Stefano Nicolini,Match Report,
3,Sun,2018-10-14,15:00 (08:00),Florentia,2–1,ChievoVerona,250,Stadio Goffredo Del Buffa,Andrea Bianchini,Match Report,
,,,,,,,,,,,
4,Sat,2018-10-20,14:00 (07:00),Pink Bari,0–4,Sassuolo,200,Stadio Antonio Antonacci,Nicola Di Giovanni,Match Report,
4,Sat,2018-10-20,14:30 (07:30),AC Milan,1–0,Tavagnacco,250,Centro Sportivo Peppino Vismara,Alessandro Munerati,Match Report,
4,Sat,2018-10-20,14:30 (07:30),ChievoVerona,0–5,Fiorentina,300,Stadio AGSM Olivieri,Matteo Dallapiccola,Match Report,
4,Sat,2018-10-20,14:30 (07:30),Orobica Calcio,0–2,Florentia,200,Stadio Giacinto Facchetti,Lucas Baldelli,Match Report,
4,Sat,2018-10-20,15:00 (08:00),Atalanta,0–1,AGSM Verona,200,Stadio Comunale,Graziella Pirriatore,Match Report,
4,Sun,2018-10-21,12:30 (05:30),AS Roma,0–4,Juventus,800,Stadio Tre Fontane,Alberto Arena,Match Report,
,,,,,,,,,,,
2,Wed,2018-10-24,15:00 (08:00),Orobica Calcio,1–0,AGSM Verona,150,Stadio Giacinto Facchetti,Michele Delrio,Match Report,
2,Wed,2018-10-24,20:00 (13:00),ChievoVerona,2–1,Pink Bari,250,Stadio AGSM Olivieri,Tommaso Zamagni,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
,,,,,,,,,,,
5,Sat,2018-10-27,15:00 (08:00),Sassuolo,0–2,Fiorentina,500,Stadio Città del Tricolore,Luca Zucchetti,Match Report,
5,Sat,2018-10-27,15:00 (08:00),Florentia,1–2,AS Roma,300,Stadio Goffredo Del Buffa,Gabriele Scatena,Match Report,
5,Sat,2018-10-27,15:00 (08:00),Orobica Calcio,0–3,ChievoVerona,200,Stadio Centro Sportivo Flaminio,Ivan Catallo,Match Report,
5,Sat,2018-10-27,15:00 (08:00),Tavagnacco,2–1,Pink Bari,200,Stadio Comunale di Tavagnacco,Stefano Nicolini,Match Report,
5,Sat,2018-10-27,15:00 (08:00),Juventus,1–1,Atalanta,300,Juventus Training Center,Simone Galipò,Match Report,
5,Sun,2018-10-28,12:30 (06:30),AGSM Verona,0–1,AC Milan,100,Stadio AGSM Olivieri,Eugenio Scarpa,Match Report,
,,,,,,,,,,,
2,Wed,2018-10-31,15:00 (09:00),AS Roma,2–2,Tavagnacco,150,Stadio Tre Fontane,Emanuele Bracaccini,Match Report,
,,,,,,,,,,,
3,Wed,2018-10-31,20:30 (14:30),Juventus,5–0,Orobica Calcio,300,Juventus Training Center,Maria Sole Ferrieri Caputi,Match Report,
,,,,,,,,,,,
6,Sat,2018-11-03,15:00 (09:00),AS Roma,3–0,Orobica Calcio,200,Stadio Tre Fontane,Giovanni Sanzo,Match Report,
6,Sat,2018-11-03,15:00 (09:00),Fiorentina,2–0,Tavagnacco,350,Stadio Comunale Gino Bozzi,Luca Bergamin,Match Report,
6,Sat,2018-11-03,15:00 (09:00),Atalanta,1–2,Florentia,200,Stadio Comunale,Marco Porcheddu,Match Report,
6,Sat,2018-11-03,15:00 (09:00),Pink Bari,2–1,AGSM Verona,200,Stadio Antonio Antonacci,Frank Tchato,Match Report,
6,Sat,2018-11-03,15:00 (09:00),ChievoVerona,1–1,Sassuolo,150,Stadio AGSM Olivieri,Marco Sicurello,Match Report,
6,Sun,2018-11-04,12:30 (05:30),AC Milan,3–0,Juventus,"1,200",Stadio Franco Ossola,Jacopo Bertini,Match Report,
,,,,,,,,,,,
7,Sat,2018-11-17,14:30 (07:30),AS Roma,7–1,ChievoVerona,350,Stadio Torbellamonaca,Marino Rinaldi,Match Report,
7,Sat,2018-11-17,14:30 (07:30),Florentia,1–1,AC Milan,500,Stadio Goffredo Del Buffa,Igor Paolucci,Match Report,
7,Sat,2018-11-17,14:30 (07:30),AGSM Verona,2–6,Fiorentina,400,Stadio AGSM Olivieri,Valentina Finzi,Match Report,
7,Sat,2018-11-17,14:30 (07:30),Juventus,5–0,Pink Bari,500,Juventus Training Center,Simone Picchi,Match Report,
7,Sat,2018-11-17,14:30 (07:30),Tavagnacco,1–1,Sassuolo,200,Stadio Comunale di Tavagnacco,Giuseppe Vingo,Match Report,
7,Sun,2018-11-18,12:30 (05:30),Orobica Calcio,0–2,Atalanta,300,Stadio Giacinto Facchetti,Andrea Bordin,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
,,,,,,,,,,,
8,Sat,2018-11-24,14:30 (07:30),Pink Bari,0–2,Florentia,300,Stadio Antonio Antonacci,Claudio Campobasso,Match Report,
8,Sat,2018-11-24,14:30 (07:30),Sassuolo,4–1,AGSM Verona,250,Stadio Città del Tricolore,Fabio Catani,Match Report,
8,Sat,2018-11-24,14:30 (07:30),AC Milan,3–1,Orobica Calcio,300,Centro Sportivo Peppino Vismara,Marco Gullotta,Match Report,
8,Sat,2018-11-24,14:30 (07:30),Atalanta,0–2,AS Roma,150,Stadio Comunale,Marco Cecchin,Match Report,
8,Sat,2018-11-24,14:30 (07:30),ChievoVerona,2–3,Tavagnacco,200,Stadio AGSM Olivieri,Francesco Croce,Match Report,
8,Sun,2018-11-25,12:30 (05:30),Fiorentina,0–2,Juventus,800,Stadio Comunale Gino Bozzi,Mattia Caldera,Match Report,
,,,,,,,,,,,
9,Sat,2018-12-01,12:30 (05:30),AS Roma,1–2,AC Milan,600,Stadio Torbellamonaca,Salvatore Morabito,Match Report,
