Wk,Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2022-08-27,20:30 (13:30),FC Como Women,0.1,0–6,2.9,Juventus,,Stadio Ferrucio Trabattoni,Mattia Ubaldi,Match Report,
1,Sun,2022-08-28,17:30 (10:30),ASD Calcio Pomigliano,0.2,0–2,2.4,AS Roma,,Stadio Ugo Gobbato,Gabriele Scatena,Match Report,
1,Sun,2022-08-28,17:30 (10:30),Milan,0.7,1–3,1.3,Fiorentina,,Puma House of Football,Claudio Panettella,Match Report,
1,Sun,2022-08-28,20:30 (13:30),Internazionale,2.8,4–1,0.8,Parma Calcio 1913,,Stadio Ernesto Breda,Marco Monaldi,Match Report,
1,Sun,2022-08-28,20:30 (13:30),Sassuolo,1.4,1–2,2.7,UC Sampdoria,,Stadio Enzo Ricci,Sajmir Kumara,Match Report,
,,,,,,,,,,,,,
2,Sat,2022-09-10,14:30 (07:30),AS Roma,1.4,2–0,0.6,Milan,,Stadio Tre Fontane,Giuseppe Collu,Match Report,
2,Sun,2022-09-11,12:30 (05:30),UC Sampdoria,1.6,2–1,0.9,ASD Calcio Pomigliano,,Stadio Comunale Luigi Ferraris,Alessandro Di Graci,Match Report,
2,Sun,2022-09-11,14:30 (07:30),Juventus,1.4,3–3,0.6,Internazionale,,Juventus Training Center,Simone Galipò,Match Report,
2,Sun,2022-09-11,17:00 (10:00),Fiorentina,0.8,2–1,0.9,FC Como Women,,Stadio Piero Torrini,Francesco D'Eusanio,Match Report,
2,Mon,2022-09-12,19:00 (12:00),Parma Calcio 1913,2.0,2–1,0.9,Sassuolo,,Stadio Ennio Tardini,Niccolò Turrini,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-09-16,14:30 (07:30),Juventus,0.7,1–0,1.2,AS Roma,,Juventus Training Center,Paride Tremolada,Match Report,
3,Sat,2022-09-17,14:30 (07:30),Internazionale,2.5,6–1,1.8,ASD Calcio Pomigliano,,Stadio Franco Ossola,Michele Delrio,Match Report,
3,Sun,2022-09-18,12:30 (05:30),Fiorentina,2.6,2–1,1.2,Parma Calcio 1913,,Stadio Piero Torrini,Filippo Giaccaglia,Match Report,
3,Sun,2022-09-18,14:30 (07:30),FC Como Women,0.6,0–1,1.2,UC Sampdoria,,Stadio Ferrucio Trabattoni,Antonio Costanza,Match Report,
3,Sun,2022-09-18,14:30 (07:30),Milan,1.6,3–1,0.4,Sassuolo,,Puma House of Football,Dario Madonia,Match Report,
,,,,,,,,,,,,,
4,Sat,2022-09-24,12:30 (05:30),Sassuolo,0.5,1–1,1.4,Juventus,,Stadio Enzo Ricci,Stefano Nicolini,Match Report,
4,Sat,2022-09-24,14:30 (07:30),Parma Calcio 1913,0.7,0–4,3.3,Milan,,Stadio Ennio Tardini,Andrea Bordin,Match Report,
