Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Sat,2014-04-12,19:00 ,Kansas City,1–1,Sky Blue,"3,107",,Dimitar Chavdarov,Match Report,
Sun,2014-04-13,19:00 (18:00),Spirit,1–3,Flash,"2,306",Maureen Hendricks Field at Maryland Socc...,Miguel Panduro,Match Report,
Sat,2014-04-12,19:00 ,Dash,0–1,Thorns,"8,097",BBVA Compass Stadium,Christina Unkel,Match Report,
Sun,2014-04-13,19:00 (21:00),Reign,3–0,Boston,"3,021",,Katja Koroleva,Match Report,
Sat,2014-04-19,19:00 (18:00),Spirit,3–1,Kansas City,"2,577",Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,
Sat,2014-04-19,19:00 (18:00),Sky Blue,1–1,Thorns,"2,983",,Miguel Panduro,Match Report,
Sat,2014-04-19,19:00 ,Red Stars,1–0,Flash,"15,743",Toyota Park,Christina Unkel,Match Report,
Sun,2014-04-20,19:00 (18:00),Boston,2–3,Dash,"2,018",,Josh Wilkens,Match Report,
Wed,2014-04-23,19:00 (21:00),Reign,3–1,Spirit,"1,754",,Josh Wilkens,Match Report,
Sat,2014-04-26,19:00 ,Red Stars,0–1,Spirit,"1,822",,Mark Allatin,Match Report,
Sun,2014-04-27,19:00 (18:00),Boston,3–2,Sky Blue,"1,263",,Juliana Duncan,Match Report,
Sat,2014-04-26,19:00 (21:00),Thorns,3–1,Kansas City,"14,124",Providence Park,Katja Koroleva,Match Report,
Sun,2014-04-27,19:00 (21:00),Reign,2–0,Dash,"2,290",,Dimitar Chavdarov,Match Report,
Wed,2014-04-30,19:00 (18:00),Sky Blue,0–2,Reign,775,,Matt Franz,Match Report,
Wed,2014-04-30,19:00 ,Kansas City,1–0,Red Stars,"1,679",,Josh Wilkens,Match Report,
Sat,2014-05-03,19:00 (18:00),Spirit,1–2,Reign,"4,667",Maureen Hendricks Field at Maryland Socc...,Elvis Mahmutovic,Match Report,
Sat,2014-05-03,19:00 (18:00),Flash,1–1,Thorns,"3,674",,Matt Franz,Match Report,
Sat,2014-05-03,19:00 (18:00),Sky Blue,1–0,Boston,"1,294",,Mark Allatin,Match Report,
Sat,2014-05-03,19:00 ,Dash,0–4,Kansas City,"5,198",BBVA Compass Stadium,Juliana Duncan,Match Report,
Wed,2014-05-07,19:00 (18:00),Sky Blue,1–1,Red Stars,604,,Dimitar Chavdarov,Match Report,
Wed,2014-05-07,19:00 (18:00),Flash,2–1,Kansas City,"2,463",,Mark Allatin,Match Report,
Sat,2014-05-10,19:00 (21:00),Thorns,0–1,Reign,"14,128",Providence Park,Boris Senic,Match Report,
Sun,2014-05-11,19:00 (18:00),Flash,2–0,Sky Blue,"3,107",,Elvis Mahmutovic,Match Report,
Sun,2014-05-11,19:00 ,Kansas City,2–1,Spirit,"1,797",,Matthew Mercier,Match Report,
Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sun,2014-05-11,19:00 ,Red Stars,1–0,Dash,"1,039",,Miguel Panduro,Match Report,
Thu,2014-05-15,19:00 (18:00),Boston,1–3,Red Stars,"1,696",,Mark Allatin,Match Report,
Wed,2014-05-14,19:00 (21:00),Reign,3–2,Kansas City,"2,875",,Timon Berry,Match Report,
Wed,2014-05-14,19:00 ,Dash,0–1,Thorns,"3,931",BBVA Compass Stadium,Josh Wilkens,Match Report,
Sat,2014-05-17,19:00 (18:00),Spirit,3–2,Flash,"4,598",Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,
Sun,2014-05-18,19:00 (18:00),Boston,1–4,Red Stars,"2,123",,Kristen Salazar,Match Report,
Sun,2014-05-18,19:00 ,Kansas City,2–2,Dash,"1,483",,Elvis Mahmutovic,Match Report,
Wed,2014-05-21,19:00 (18:00),Spirit,3–3,Sky Blue,"2,545",Maureen Hendricks Field at Maryland Socc...,Boris Senic,Match Report,
Wed,2014-05-21,19:00 ,Kansas City,1–1,Reign,"2,011",,Dimitar Chavdarov,Match Report,
Wed,2014-05-21,19:00 (21:00),Thorns,2–1,Flash,"10,920",Providence Park,Mark Allatin,Match Report,
Fri,2014-05-23,19:00 ,Dash,1–3,Red Stars,"4,868",BBVA Compass Stadium,Timon Berry,Match Report,
Sat,2014-05-24,19:00 (21:00),Thorns,0–1,Sky Blue,"13,427",Providence Park,Bernhard Hosu,Match Report,
Sun,2014-05-25,19:00 (18:00),Boston,0–2,Kansas City,"2,622",,Katja Koroleva,Match Report,
Mon,2014-05-26,19:00 (18:00),Spirit,3–2,Dash,"2,865",Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,
Sun,2014-05-25,19:00 (21:00),Reign,2–2,Flash,"4,018",,Josh Wilkens,Match Report,
Wed,2014-05-28,19:00 (18:00),Boston,4–1,Thorns,"1,556",,Boris Senic,Match Report,
Wed,2014-05-28,19:00 (18:00),Sky Blue,0–2,Red Stars,786,,Matthew Mercier,Match Report,
Sat,2014-05-31,19:00 (18:00),Flash,1–2,Dash,"3,555",,Kristen Salazar,Match Report,
Sun,2014-06-01,19:00 (18:00),Sky Blue,1–3,Reign,"2,876",,Christina Unkel,Match Report,
Sun,2014-06-01,19:00 (18:00),Boston,2–3,Spirit,"2,876",,Juliana Duncan,Match Report,
Wed,2014-06-04,19:00 ,Red Stars,0–1,Spirit,"1,450",,Josh Wilkens,Match Report,
Wed,2014-06-04,19:00 ,Kansas City,1–0,Flash,"2,674",,Christopher Spivey,Match Report,
Sat,2014-06-07,19:00 (21:00),Thorns,0–5,Flash,"13,838",Providence Park,Juliana Duncan,Match Report,
Sat,2014-06-07,19:00 ,Kansas City,2–0,Boston,"1,457",,Greg Dopka,Match Report,
Sun,2014-06-08,19:00 (18:00),Sky Blue,0–3,Dash,"1,457",,Michael Zapata,Match Report,
Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sat,2014-06-07,19:00 (21:00),Reign,3–1,Red Stars,"4,222",,Dimitar Chavdarov,Match Report,
